,Filename,Category,ExecutedLines,Code_Indices
0,Account_2,OOP_prepared,"[85, 3, 4, 5, 6, 7, 44, 45, 46, 86, 74, 77, 78]","class Customer: # 1
def __init__(self, ID, name, discount=None, gender=None): # 2
self.ID = ID # 3
self.name = name # 4
self.discount = discount # 5
if gender in ['m', 'f']: # 6
self.gender = gender # 7
elif gender is not None: # 8
print(""Gender must be 'm' or 'f'"") # 9
# 10
def getID(self): # 11
return self.ID # 12
# 13
def setID(self, ID): # 14
self.ID = ID # 15
# 16
def getName(self): # 17
return self.name # 18
# 19
def setName(self, name): # 20
self.name = name # 21
# 22
def getGender(self): # 23
return self.gender # 24
# 25
def setGender(self, gender): # 26
if gender in ['m', 'f']: # 27
self.gender = gender # 28
else: # 29
print(""Gender must be 'm' or 'f'"") # 30
# 31
def getDiscount(self): # 32
return self.discount # 33
# 34
def setDiscount(self, discount): # 35
self.discount = discount # 36
# 37
def __str__(self): # 38
return f""{self.name}({self.ID})"" # 39
# 40
# 41
class Account: # 42
def __init__(self, id, customer, balance=0.0): # 43
self.id = id # 44
self.customer = customer # 45
self.balance = balance # 46
# 47
def getId(self): # 48
return self.id # 49
# 50
def setId(self, id): # 51
self.id = id # 52
# 53
def getCustomer(self): # 54
return self.customer # 55
# 56
def setCustomer(self, customer): # 57
self.customer = customer # 58
# 59
def getBalance(self): # 60
return self.balance # 61
# 62
def setBalance(self, balance): # 63
self.balance = balance # 64
# 65
def getCustomerName(self): # 66
return self.customer.getName() # 67
# 68
def deposit(self, amount): # 69
self.balance += amount # 70
return self # 71
# 72
def withdraw(self, amount): # 73
if amount > self.balance: # 74
print(""Amount withdraw exceeds the current balance!"") # 75
else: # 76
self.balance -= amount # 77
return self # 78
# 79
def __str__(self): # 80
return f""{self.customer.getName()}({self.id}) balance=${self.balance:.2f}"" # 81
# 82
# 83
if __name__ == ""__main__"": # 84
account = Account(1, Customer(2, ""Ha Gia Kinh"", gender='m'), 10000.0) # 85
account.withdraw(5000) # 86"
1,Account_2,OOP_prepared,"[85, 3, 4, 5, 6, 7, 44, 45, 46, 86, 74, 75, 78]","class Customer: # 1
def __init__(self, ID, name, discount=None, gender=None): # 2
self.ID = ID # 3
self.name = name # 4
self.discount = discount # 5
if gender in ['m', 'f']: # 6
self.gender = gender # 7
elif gender is not None: # 8
print(""Gender must be 'm' or 'f'"") # 9
# 10
def getID(self): # 11
return self.ID # 12
# 13
def setID(self, ID): # 14
self.ID = ID # 15
# 16
def getName(self): # 17
return self.name # 18
# 19
def setName(self, name): # 20
self.name = name # 21
# 22
def getGender(self): # 23
return self.gender # 24
# 25
def setGender(self, gender): # 26
if gender in ['m', 'f']: # 27
self.gender = gender # 28
else: # 29
print(""Gender must be 'm' or 'f'"") # 30
# 31
def getDiscount(self): # 32
return self.discount # 33
# 34
def setDiscount(self, discount): # 35
self.discount = discount # 36
# 37
def __str__(self): # 38
return f""{self.name}({self.ID})"" # 39
# 40
# 41
class Account: # 42
def __init__(self, id, customer, balance=0.0): # 43
self.id = id # 44
self.customer = customer # 45
self.balance = balance # 46
# 47
def getId(self): # 48
return self.id # 49
# 50
def setId(self, id): # 51
self.id = id # 52
# 53
def getCustomer(self): # 54
return self.customer # 55
# 56
def setCustomer(self, customer): # 57
self.customer = customer # 58
# 59
def getBalance(self): # 60
return self.balance # 61
# 62
def setBalance(self, balance): # 63
self.balance = balance # 64
# 65
def getCustomerName(self): # 66
return self.customer.getName() # 67
# 68
def deposit(self, amount): # 69
self.balance += amount # 70
return self # 71
# 72
def withdraw(self, amount): # 73
if amount > self.balance: # 74
print(""Amount withdraw exceeds the current balance!"") # 75
else: # 76
self.balance -= amount # 77
return self # 78
# 79
def __str__(self): # 80
return f""{self.customer.getName()}({self.id}) balance=${self.balance:.2f}"" # 81
# 82
# 83
if __name__ == ""__main__"": # 84
account = Account(1, Customer(2, ""Ha Gia Kinh"", gender='m'), 10000.0) # 85
account.withdraw(15000) # 86"
2,Account_2,OOP_prepared,"[85, 3, 4, 5, 6, 7, 86, 3, 4, 5, 6, 7, 87, 3, 4, 5, 6, 7, 89, 44, 45, 46, 90, 44, 45, 46, 91, 44, 45, 46, 94, 74, 77, 78, 95, 70, 71, 96, 74, 75, 78, 97, 70, 71, 98, 74, 77, 78, 101, 33, 70, 71, 102, 33, 74, 77, 78, 103, 33, 70, 71]","class Customer: # 1
def __init__(self, ID, name, discount=None, gender=None): # 2
self.ID = ID # 3
self.name = name # 4
self.discount = discount # 5
if gender in ['m', 'f']: # 6
self.gender = gender # 7
elif gender is not None: # 8
print(""Gender must be 'm' or 'f'"") # 9
# 10
def getID(self): # 11
return self.ID # 12
# 13
def setID(self, ID): # 14
self.ID = ID # 15
# 16
def getName(self): # 17
return self.name # 18
# 19
def setName(self, name): # 20
self.name = name # 21
# 22
def getGender(self): # 23
return self.gender # 24
# 25
def setGender(self, gender): # 26
if gender in ['m', 'f']: # 27
self.gender = gender # 28
else: # 29
print(""Gender must be 'm' or 'f'"") # 30
# 31
def getDiscount(self): # 32
return self.discount # 33
# 34
def setDiscount(self, discount): # 35
self.discount = discount # 36
# 37
def __str__(self): # 38
return f""{self.name}({self.ID})"" # 39
# 40
# 41
class Account: # 42
def __init__(self, id, customer, balance=0.0): # 43
self.id = id # 44
self.customer = customer # 45
self.balance = balance # 46
# 47
def getId(self): # 48
return self.id # 49
# 50
def setId(self, id): # 51
self.id = id # 52
# 53
def getCustomer(self): # 54
return self.customer # 55
# 56
def setCustomer(self, customer): # 57
self.customer = customer # 58
# 59
def getBalance(self): # 60
return self.balance # 61
# 62
def setBalance(self, balance): # 63
self.balance = balance # 64
# 65
def getCustomerName(self): # 66
return self.customer.getName() # 67
# 68
def deposit(self, amount): # 69
self.balance += amount # 70
return self # 71
# 72
def withdraw(self, amount): # 73
if amount > self.balance: # 74
print(""Amount withdraw exceeds the current balance!"") # 75
else: # 76
self.balance -= amount # 77
return self # 78
# 79
def __str__(self): # 80
return f""{self.customer.getName()}({self.id}) balance=${self.balance:.2f}"" # 81
# 82
# 83
if __name__ == ""__main__"": # 84
customer1 = Customer(2, ""Ha Gia Kinh"", gender='m', discount=0.1) # 85
customer2 = Customer(3, ""Nguyen Thao"", gender='f', discount=0.05) # 86
customer3 = Customer(4, ""Pham Tuong"", gender='m', discount=0.2) # 87
# 88
account1 = Account(1, customer1, 10000.0) # 89
account2 = Account(2, customer2, 5000.0) # 90
account3 = Account(3, customer3, 2000.0) # 91
# 92
# 93
account1.withdraw(1000) # 94
account2.deposit(2000) # 95
account3.withdraw(2500) # 96
account2.deposit(1500) # 97
account3.withdraw(500) # 98
# 99
# 100
account1.deposit(5000 * (1 - customer1.getDiscount())) # 101
account2.withdraw(2000 * (1 - customer2.getDiscount())) # 102
account3.deposit(3000 * (1 - customer3.getDiscount())) # 103"
3,Account_2,OOP_prepared,"[86, 3, 4, 5, 6, 7, 87, 3, 4, 5, 6, 7, 88, 3, 4, 5, 6, 7, 90, 44, 45, 46, 91, 44, 45, 46, 92, 44, 45, 46, 95, 96, 74, 77, 78, 97, 33, 70, 71, 100, 74, 77, 78, 101, 70, 71]","class Customer: # 1
def __init__(self, ID, name, discount=None, gender=None): # 2
self.ID = ID # 3
self.name = name # 4
self.discount = discount # 5
if gender in ['m', 'f']: # 6
self.gender = gender # 7
elif gender is not None: # 8
print(""Gender must be 'm' or 'f'"") # 9
# 10
def getID(self): # 11
return self.ID # 12
# 13
def setID(self, ID): # 14
self.ID = ID # 15
# 16
def getName(self): # 17
return self.name # 18
# 19
def setName(self, name): # 20
self.name = name # 21
# 22
def getGender(self): # 23
return self.gender # 24
# 25
def setGender(self, gender): # 26
if gender in ['m', 'f']: # 27
self.gender = gender # 28
else: # 29
print(""Gender must be 'm' or 'f'"") # 30
# 31
def getDiscount(self): # 32
return self.discount # 33
# 34
def setDiscount(self, discount): # 35
self.discount = discount # 36
# 37
def __str__(self): # 38
return f""{self.name}({self.ID})"" # 39
# 40
# 41
class Account: # 42
def __init__(self, id, customer, balance=0.0): # 43
self.id = id # 44
self.customer = customer # 45
self.balance = balance # 46
# 47
def getId(self): # 48
return self.id # 49
# 50
def setId(self, id): # 51
self.id = id # 52
# 53
def getCustomer(self): # 54
return self.customer # 55
# 56
def setCustomer(self, customer): # 57
self.customer = customer # 58
# 59
def getBalance(self): # 60
return self.balance # 61
# 62
def setBalance(self, balance): # 63
self.balance = balance # 64
# 65
def getCustomerName(self): # 66
return self.customer.getName() # 67
# 68
def deposit(self, amount): # 69
self.balance += amount # 70
return self # 71
# 72
def withdraw(self, amount): # 73
if amount > self.balance: # 74
print(""Amount withdraw exceeds the current balance!"") # 75
else: # 76
self.balance -= amount # 77
return self # 78
# 79
def __str__(self): # 80
return f""{self.customer.getName()}({self.id}) balance=${self.balance:.2f}"" # 81
# 82
# 83
if __name__ == ""__main__"": # 84
# 85
customer1 = Customer(2, ""Ha Gia Kinh"", gender='m', discount=0.1) # 86
customer2 = Customer(3, ""Nguyen Thao"", gender='f', discount=0.05) # 87
customer3 = Customer(4, ""Pham Tuong"", gender='m', discount=0.2) # 88
# 89
account1 = Account(1, customer1, 10000.0) # 90
account2 = Account(2, customer2, 5000.0) # 91
account3 = Account(3, customer3, 2000.0) # 92
# 93
# 94
amount_to_transfer = 1000 # 95
account1.withdraw(amount_to_transfer) # 96
account2.deposit(amount_to_transfer * (1 - customer2.getDiscount())) # 97
# 98
# 99
account3.withdraw(500) # 100
account2.deposit(1500) # 101"
4,Account_2,OOP_prepared,"[86, 3, 4, 5, 6, 7, 87, 3, 4, 5, 6, 7, 88, 3, 4, 5, 6, 7, 90, 44, 45, 46, 91, 44, 45, 46, 92, 44, 45, 46, 95, 33, 70, 71, 96, 74, 77, 78, 97, 33, 70, 71, 100, 101, 74, 77, 78, 102, 33, 70, 71, 105, 70, 71, 106, 74, 77, 78]","class Customer: # 1
def __init__(self, ID, name, discount=None, gender=None): # 2
self.ID = ID # 3
self.name = name # 4
self.discount = discount # 5
if gender in ['m', 'f']: # 6
self.gender = gender # 7
elif gender is not None: # 8
print(""Gender must be 'm' or 'f'"") # 9
# 10
def getID(self): # 11
return self.ID # 12
# 13
def setID(self, ID): # 14
self.ID = ID # 15
# 16
def getName(self): # 17
return self.name # 18
# 19
def setName(self, name): # 20
self.name = name # 21
# 22
def getGender(self): # 23
return self.gender # 24
# 25
def setGender(self, gender): # 26
if gender in ['m', 'f']: # 27
self.gender = gender # 28
else: # 29
print(""Gender must be 'm' or 'f'"") # 30
# 31
def getDiscount(self): # 32
return self.discount # 33
# 34
def setDiscount(self, discount): # 35
self.discount = discount # 36
# 37
def __str__(self): # 38
return f""{self.name}({self.ID})"" # 39
# 40
# 41
class Account: # 42
def __init__(self, id, customer, balance=0.0): # 43
self.id = id # 44
self.customer = customer # 45
self.balance = balance # 46
# 47
def getId(self): # 48
return self.id # 49
# 50
def setId(self, id): # 51
self.id = id # 52
# 53
def getCustomer(self): # 54
return self.customer # 55
# 56
def setCustomer(self, customer): # 57
self.customer = customer # 58
# 59
def getBalance(self): # 60
return self.balance # 61
# 62
def setBalance(self, balance): # 63
self.balance = balance # 64
# 65
def getCustomerName(self): # 66
return self.customer.getName() # 67
# 68
def deposit(self, amount): # 69
self.balance += amount # 70
return self # 71
# 72
def withdraw(self, amount): # 73
if amount > self.balance: # 74
print(""Amount withdraw exceeds the current balance!"") # 75
else: # 76
self.balance -= amount # 77
return self # 78
# 79
def __str__(self): # 80
return f""{self.customer.getName()}({self.id}) balance=${self.balance:.2f}"" # 81
# 82
# 83
if __name__ == ""__main__"": # 84
# 85
customer1 = Customer(2, ""Ha Gia Kinh"", gender='m', discount=0.15) # 86
customer2 = Customer(3, ""Nguyen Thao"", gender='f', discount=0.1) # 87
customer3 = Customer(4, ""Pham Tuong"", gender='m', discount=0.05) # 88
# 89
account1 = Account(1, customer1, 10000.0) # 90
account2 = Account(2, customer2, 5000.0) # 91
account3 = Account(3, customer3, 3000.0) # 92
# 93
# 94
account1.deposit(2000 * (1 - customer1.getDiscount())) # 95
account2.withdraw(1000) # 96
account3.deposit(1500 * (1 - customer3.getDiscount())) # 97
# 98
# 99
amount_to_transfer = 500 # 100
account1.withdraw(amount_to_transfer) # 101
account2.deposit(amount_to_transfer * (1 - customer2.getDiscount())) # 102
# 103
# 104
account2.deposit(1000) # 105
account3.withdraw(1000) # 106"
5,Account,OOP_prepared,"[49, 3, 4, 5, 50, 3, 4, 5, 51, 37, 38, 39, 42]","class Account: # 1
def __init__(self, id, name, balance=0): # 2
self.id = id # 3
self.name = name # 4
self.balance = balance # 5
# 6
def get_id(self): # 7
return self.id # 8
# 9
def set_id(self, id): # 10
self.id = id # 11
# 12
def get_name(self): # 13
return self.name # 14
# 15
def set_name(self, name): # 16
self.name = name # 17
# 18
def get_balance(self): # 19
return self.balance # 20
# 21
def set_balance(self, balance): # 22
self.balance = balance # 23
# 24
def credit(self, amount): # 25
self.balance += amount # 26
return self.balance # 27
# 28
def debit(self, amount): # 29
if amount <= self.balance: # 30
self.balance -= amount # 31
else: # 32
print(""Amount exceeded balance"") # 33
return self.balance # 34
# 35
def transfer_to(self, account, amount): # 36
if amount <= self.balance: # 37
account.balance += amount # 38
self.balance -= amount # 39
else: # 40
print(""Amount exceeded balance"") # 41
return self.balance # 42
# 43
def __str__(self): # 44
return f""Account[id={self.id},name={self.name},balance={self.balance}]"" # 45
# 46
# 47
if __name__ == ""__main__"": # 48
a1 = Account(""A101"", ""Tan Ah Teck"", 88) # 49
a2 = Account(""A102"", ""Kumar"", 50) # 50
a1.transfer_to(a2, 20) # 51"
6,Account,OOP_prepared,"[51, 3, 4, 5, 52, 3, 4, 5, 53, 3, 4, 5, 56, 26, 27, 57, 26, 27, 58, 26, 27, 61, 37, 38, 39, 42, 62, 37, 38, 39, 42, 64, 30, 31, 34, 65, 30, 33, 34, 66, 30, 31, 34]","class Account: # 1
def __init__(self, id, name, balance=0): # 2
self.id = id # 3
self.name = name # 4
self.balance = balance # 5
# 6
def get_id(self): # 7
return self.id # 8
# 9
def set_id(self, id): # 10
self.id = id # 11
# 12
def get_name(self): # 13
return self.name # 14
# 15
def set_name(self, name): # 16
self.name = name # 17
# 18
def get_balance(self): # 19
return self.balance # 20
# 21
def set_balance(self, balance): # 22
self.balance = balance # 23
# 24
def credit(self, amount): # 25
self.balance += amount # 26
return self.balance # 27
# 28
def debit(self, amount): # 29
if amount <= self.balance: # 30
self.balance -= amount # 31
else: # 32
print(""Amount exceeded balance"") # 33
return self.balance # 34
# 35
def transfer_to(self, account, amount): # 36
if amount <= self.balance: # 37
account.balance += amount # 38
self.balance -= amount # 39
else: # 40
print(""Amount exceeded balance"") # 41
return self.balance # 42
# 43
def __str__(self): # 44
return f""Account[id={self.id},name={self.name},balance={self.balance}]"" # 45
# 46
# 47
# 48
if __name__ == ""__main__"": # 49
# 50
a1 = Account(""A101"", ""Tan Ah Teck"", 88) # 51
a2 = Account(""A102"", ""Kumar"", 50) # 52
a3 = Account(""A103"", ""Rajesh"", 1000) # 53
# 54
# 55
a1.credit(200) # 56
a2.credit(150) # 57
a3.credit(500) # 58
# 59
# 60
a1.transfer_to(a2, 50) # 61
a2.transfer_to(a3, 100) # 62
# 63
a1.debit(100) # 64
a2.debit(200) # 65
a3.debit(50) # 66"
7,Account,OOP_prepared,"[49, 3, 4, 5, 50, 3, 4, 5, 51, 3, 4, 5, 54, 30, 33, 34, 55, 30, 33, 34, 56, 30, 31, 34]","class Account: # 1
def __init__(self, id, name, balance=0): # 2
self.id = id # 3
self.name = name # 4
self.balance = balance # 5
# 6
def get_id(self): # 7
return self.id # 8
# 9
def set_id(self, id): # 10
self.id = id # 11
# 12
def get_name(self): # 13
return self.name # 14
# 15
def set_name(self, name): # 16
self.name = name # 17
# 18
def get_balance(self): # 19
return self.balance # 20
# 21
def set_balance(self, balance): # 22
self.balance = balance # 23
# 24
def credit(self, amount): # 25
self.balance += amount # 26
return self.balance # 27
# 28
def debit(self, amount): # 29
if amount <= self.balance: # 30
self.balance -= amount # 31
else: # 32
print(""Amount exceeded balance"") # 33
return self.balance # 34
# 35
def transfer_to(self, account, amount): # 36
if amount <= self.balance: # 37
account.balance += amount # 38
self.balance -= amount # 39
else: # 40
print(""Amount exceeded balance"") # 41
return self.balance # 42
# 43
def __str__(self): # 44
return f""Account[id={self.id},name={self.name},balance={self.balance}]"" # 45
# 46
# 47
if __name__ == ""__main__"": # 48
a1 = Account(""A101"", ""Tan Ah Teck"", 88) # 49
a2 = Account(""A102"", ""Kumar"", 50) # 50
a3 = Account(""A103"", ""Rajesh"", 1000) # 51
# 52
# 53
a1.debit(100) # 54
a2.debit(200) # 55
a3.debit(50) # 56"
8,Account,OOP_prepared,"[49, 3, 4, 5, 50, 3, 4, 5, 51, 3, 4, 5, 54, 26, 27, 55, 26, 27, 56, 26, 27, 59, 30, 31, 34, 60, 30, 31, 34, 61, 30, 31, 34, 64, 30, 33, 34]","class Account: # 1
def __init__(self, id, name, balance=0): # 2
self.id = id # 3
self.name = name # 4
self.balance = balance # 5
# 6
def get_id(self): # 7
return self.id # 8
# 9
def set_id(self, id): # 10
self.id = id # 11
# 12
def get_name(self): # 13
return self.name # 14
# 15
def set_name(self, name): # 16
self.name = name # 17
# 18
def get_balance(self): # 19
return self.balance # 20
# 21
def set_balance(self, balance): # 22
self.balance = balance # 23
# 24
def credit(self, amount): # 25
self.balance += amount # 26
return self.balance # 27
# 28
def debit(self, amount): # 29
if amount <= self.balance: # 30
self.balance -= amount # 31
else: # 32
print(""Amount exceeded balance"") # 33
return self.balance # 34
# 35
def transfer_to(self, account, amount): # 36
if amount <= self.balance: # 37
account.balance += amount # 38
self.balance -= amount # 39
else: # 40
print(""Amount exceeded balance"") # 41
return self.balance # 42
# 43
def __str__(self): # 44
return f""Account[id={self.id},name={self.name},balance={self.balance}]"" # 45
# 46
if __name__ == ""__main__"": # 47
# 48
a1 = Account(""A101"", ""Tan Ah Teck"", 88) # 49
a2 = Account(""A102"", ""Kumar"", 50) # 50
a3 = Account(""A103"", ""Rajesh"", 1000) # 51
# 52
# 53
a1.credit(200) # 54
a2.credit(150) # 55
a3.credit(500) # 56
# 57
# 58
a1.debit(100) # 59
a2.debit(75) # 60
a3.debit(300) # 61
# 62
# 63
a2.debit(200) # 64
# 65
# 66"
9,Account,OOP_prepared,"[51, 3, 4, 5, 52, 3, 4, 5, 55, 26, 27, 58, 30, 31, 34, 61, 30, 33, 34, 64, 37, 38, 39, 42, 67, 37, 41, 42, 70, 11, 71, 8, 74, 17, 75, 14, 78, 23, 79, 20]","class Account: # 1
def __init__(self, id, name, balance=0): # 2
self.id = id # 3
self.name = name # 4
self.balance = balance # 5
# 6
def get_id(self): # 7
return self.id # 8
# 9
def set_id(self, id): # 10
self.id = id # 11
# 12
def get_name(self): # 13
return self.name # 14
# 15
def set_name(self, name): # 16
self.name = name # 17
# 18
def get_balance(self): # 19
return self.balance # 20
# 21
def set_balance(self, balance): # 22
self.balance = balance # 23
# 24
def credit(self, amount): # 25
self.balance += amount # 26
return self.balance # 27
# 28
def debit(self, amount): # 29
if amount <= self.balance: # 30
self.balance -= amount # 31
else: # 32
print(""Amount exceeded balance"") # 33
return self.balance # 34
# 35
def transfer_to(self, account, amount): # 36
if amount <= self.balance: # 37
account.balance += amount # 38
self.balance -= amount # 39
else: # 40
print(""Amount exceeded balance"") # 41
return self.balance # 42
# 43
def __str__(self): # 44
return f""Account[id={self.id},name={self.name},balance={self.balance}]"" # 45
# 46
# 47
# 48
if __name__ == ""__main__"": # 49
# 50
a1 = Account(""A101"", ""Tan Ah Teck"", 88) # 51
a2 = Account(""A102"", ""Kumar"", 50) # 52
# 53
# 54
a1.credit(20) # 55
# 56
# 57
a1.debit(30) # 58
# 59
# 60
a1.debit(100) # 61
# 62
# 63
a1.transfer_to(a2, 10) # 64
# 65
# 66
a1.transfer_to(a2, 100) # 67
# 68
# 69
a1.set_id(""A105"") # 70
a1.get_id() # 71
# 72
# 73
a1.set_name(""John Doe"") # 74
a1.get_name() # 75
# 76
# 77
a1.set_balance(200) # 78
a1.get_balance() # 79"
