Filename,Category,Predicted,Actual,Matched,Distance
1114,Concurrency_prepared,"[24, 25, 10, 11, 12, 26, 14, 15, 16, 17, 27, 19, 20, 21]","[24, 5, 6, 7, 8, 25, 11, 25, 12, 26, 15, 16, 26, 17, 27, 20, 21, 27]",False,0.7479674796747967
1114,Concurrency_prepared,"[33, 24, 25, 8, 9, 10, 37, 39, 34, 27, 28, 12, 13, 14, 15, 40, 30, 31, 17, 18, 19, 42, 43, 44]","[22, 3, 4, 5, 6, 24, 27, 30, 33, 34, 35, (, 37, 25, 9, 25, 10, 39, 28, 13, 14, 28, 15, 40, 31, 18, 19, 31, 42, 43, 44, )]",False,0.6401869158878505
1114,Concurrency_prepared,"[29, 30, 32, 24, 25, 10, 11, 12, 26, 14, 15, 16, 17, 27, 19, 20, 21, 33, 24, 25, 10, 11, 12, 26, 14, 15, 16, 17, 27, 19, 20, 21, 35, 37, (, 11, 16, 21, 11, 16, 21, ), 39, 40]","[24, 29, 5, 6, 7, 8, 30, 5, 6, 7, 8, 32, 33, (, 35, 25, 11, 25, 12, 26, 15, 16, 26, 17, 27, 20, 21, 27, 37, 25, 11, 25, 12, 26, 15, 16, 26, 17, 27, 20, 21, 27, 39, 40, )]",False,0.11370262390670553
1114,Concurrency_prepared,"[35, 39, 26, 27, 10, 11, 12, 41, 37, 20, 42, 36, 15, 16, 17, 21, 44, 45, 46]","[24, 5, 6, 7, 8, 26, 29, 32, 35, 36, 37, (, 39, 27, 11, 27, 12, 41, 33, 20, 42, 30, 15, 16, 30, 17, 44, 45, 46, 21, 33, )]",False,0.7055837563451777
1114,Concurrency_prepared,"[29, 30, 31, 33, (37, 25, 11, 12, 26, 15, 16, 17, 27, 20, 21, 39, 40, 25, 11, 16, 27, 21, 43, 44), 42]","[24, 29, 5, 6, 7, 8, 30, 5, 6, 7, 8, 31, 5, 6, 7, 8, 33, 34, 35, (, 37, 25, 11, 25, 12, 26, 15, 16, 26, 17, 27, 20, 21, 27, 39, 25, 11, 25, 12, 26, 15, 16, 26, 17, 27, 20, 21, 27, 40, 25, 11, 25, 12, 26, 15, 16, 26, 17, 27, 20, 21, 27, 42, 43, 44, )]",False,0.1282051282051282
1115,Concurrency_prepared,"[27, 3, 4, 5, 28, 7, 8, 9, 10, 20, 11, 29, 13, 14, 15, 16, 23, 17, 9, 10, 20, 11, 15, 16, 23, 17, ..., 9, 10, 20, 11, 15, 16, 23, 17, 33, 34]","[26, 27, 3, 4, 5, 28, 29, (, 30, 8, 9, 10, 20, 11, 8, 9, 32, 14, 15, 16, 23, 17, 14, 15, 33, 10, 20, 11, 8, 9, 16, 23, 17, 14, 15, 10, 20, 11, 8, 9, 16, 23, 17, 14, 15, 10, 20, 11, 8, 9, 16, 23, 17, 14, 15, 10, 20, 11, 8, 16, 23, 17, 14, 34, )]",False,0.041666666666666664
1115,Concurrency_prepared,"[30, 5, 6, 7, 8, 31, 32, (, 10, 11, 12, 22, 23, 14, 16, 17, 18, 25, 26, 20, 12, 22, 23, 14, 18, 25, 26, 20, 12, 22, 23, 14, ), 33, 35, 36, 37]","[29, 30, 6, 7, 8, 31, 32, (, 33, 11, 12, 13, 23, 14, 11, 12, 35, 17, 18, 19, 26, 20, 17, 18, 36, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 19, 26, 20, 17, 37, )]",False,0.30063291139240506
1115,Concurrency_prepared,"[31, 10, 11, 12, 22, 23, 14, 32, 16, 17, 18, 25, 26, 20, 12, 22, 23, 14, 18, 25, 26, 20, 12, 22, 23, 14, 18, 25, 26, 20, 12, 22, 23, 14, 18, 25, 26, 20, 12, 22, 23, 14, 18, 25, 26, 20, 12, 22, 23, 14, 36, 37]","[29, 30, 6, 7, 8, 31, 32, (, 33, 11, 12, 13, 23, 14, 11, 12, 35, 17, 18, 19, 26, 20, 17, 18, 36, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 37, 19, 26, 20, 17, )]",False,0.04797047970479705
1115,Concurrency_prepared,"[30, 31, 32, (33, 10, 11, 12, 22, 23, 14, 11, 12, 22, 23, 14, 35, 16, 17, 18, 25, 26, 20, 17, 18, 25, 26, 20, 36, 37)]","[29, 30, 6, 7, 8, 31, 32, (, 33, 11, 12, 13, 23, 14, 11, 12, 35, 17, 18, 19, 26, 20, 17, 18, 36, 13, 23, 14, 11, 19, 26, 20, 17, 37, )]",False,0.1746031746031746
1115,Concurrency_prepared,"[31, 10, 11, 12, 22, 23, 14, 32, 16, 17, 18, 25, 26, 20, 12, 22, 23, 14, 18, 25, 26, 20, ..., 12, 22, 23, 14, 36, 37]","[29, 30, 6, 7, 8, 31, 32, (, 33, 11, 12, 13, 23, 14, 11, 12, 35, 17, 18, 19, 26, 20, 17, 18, 36, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 19, 26, 20, 17, 37, )]",False,0.09807355516637478
