Filename,Category,Predicted,Actual,Matched,Distance
Account_2,OOP_prepared,"[84, 85, 43, 45, 2, 3, 4, 5, 6, 7, 46, 70, 73, 74, 76, 77, 78]","[85, 3, 4, 5, 6, 7, 44, 45, 46, 86, 74, 77, 78]",False,0.6388888888888888
Account_2,OOP_prepared,"[84, 85, 2, 3, 4, 5, 6, 7, 43, 44, 45, 46, 86, 74, 75]","[85, 3, 4, 5, 6, 7, 44, 45, 46, 86, 74, 75, 78]",False,0.85
Account_2,OOP_prepared,"[84, 85, 2, 3, 4, 5, 6, 7, 85, 2, 3, 4, 5, 6, 7, 86, 2, 3, 4, 5, 6, 7, 87, 2, 3, 4, 5, 6, 7, 89, 43, 44, 45, 46, 90, 43, 44, 45, 46, 91, 43, 44, 45, 46, 94, 73, 60, 76, 62, 77, 71, 95, 69, 60, 70, 71, 96, 73, 60, 74, 75, 78, 97, 69, 60, 70, 71, 98, 73, 60, 74, 75, 78, 101, 66, 67, 17, 18, 32, 33, 69, 60, 70, 71, 102, 67, 17, 18, 32, 33, 73, 60, 76, 62, 77, 71, 103, 67, 17, 18, 32, 33, 69, 60, 70, 71]","[85, 3, 4, 5, 6, 7, 86, 3, 4, 5, 6, 7, 87, 3, 4, 5, 6, 7, 89, 44, 45, 46, 90, 44, 45, 46, 91, 44, 45, 46, 94, 74, 77, 78, 95, 70, 71, 96, 74, 75, 78, 97, 70, 71, 98, 74, 77, 78, 101, 33, 70, 71, 102, 33, 74, 77, 78, 103, 33, 70, 71]",False,0.03470031545741325
Account_2,OOP_prepared,"[86, 2, 3, 4, 5, 6, 7, 90, 43, 44, 45, 46, 91, 43, 44, 45, 46, 92, 43, 44, 45, 46, 95, 96, 73, 60, 74, 75, 97, 69, 60, 33, 67, 17, 18, 100, 73, 60, 76, 77, 101, 69]","[86, 3, 4, 5, 6, 7, 87, 3, 4, 5, 6, 7, 88, 3, 4, 5, 6, 7, 90, 44, 45, 46, 91, 44, 45, 46, 92, 44, 45, 46, 95, 96, 74, 77, 78, 97, 33, 70, 71, 100, 74, 77, 78, 101, 70, 71]",False,0.04491017964071856
Account_2,OOP_prepared,"[86, 2, 3, 4, 5, 6, 7, 90, 43, 44, 45, 46, 95, 69, 32, 33, 11, 12, 70, 96, 73, 60, 74, 76, 77, 97, 69, 32, 33, 11, 12, 70, 101, 73, 60, 76, 77, 102, 69, 32, 33, 11, 12, 70, 105, 69, 106, 73, 60, 74, 76, 77]","[86, 3, 4, 5, 6, 7, 87, 3, 4, 5, 6, 7, 88, 3, 4, 5, 6, 7, 90, 44, 45, 46, 91, 44, 45, 46, 92, 44, 45, 46, 95, 33, 70, 71, 96, 74, 77, 78, 97, 33, 70, 71, 100, 101, 74, 77, 78, 102, 33, 70, 71, 105, 70, 71, 106, 74, 77, 78]",False,0.1522248243559719
Account,OOP_prepared,"[48, 49, 2, 3, 4, 5, 50, 2, 3, 4, 5, 51, 36, 37, 38, 39, 42]","[49, 3, 4, 5, 50, 3, 4, 5, 51, 37, 38, 39, 42]",False,0.8666666666666667
Account,OOP_prepared,"[51, 2, 3, 4, 5, 52, 2, 3, 4, 5, 53, 2, 3, 4, 5, 56, 25, 26, 57, 25, 26, 58, 25, 26, 61, 36, 37, 20, 38, 23, 20, 31, 62, 36, 37, 20, 42, 40, 41, 64, 29, 30, 20, 31, 65, 29, 30, 32, 33, 66, 29, 30]","[51, 3, 4, 5, 52, 3, 4, 5, 53, 3, 4, 5, 56, 26, 27, 57, 26, 27, 58, 26, 27, 61, 37, 38, 39, 42, 62, 37, 38, 39, 42, 64, 30, 31, 34, 65, 30, 33, 34, 66, 30, 31, 34]",False,0.13687150837988826
Account,OOP_prepared,"[48, 49, 2, 3, 4, 5, 50, 2, 3, 4, 5, 51, 2, 3, 4, 5, 54, 30, 29, 31, 55, 30, 29, 33, 56, 30, 29, 31]","[49, 3, 4, 5, 50, 3, 4, 5, 51, 3, 4, 5, 54, 30, 33, 34, 55, 30, 33, 34, 56, 30, 31, 34]",False,0.8817204301075269
Account,OOP_prepared,"[49, 2, 3, 4, 5, 54, 25, 26, 27, 55, 25, 26, 27, 56, 25, 26, 27, 59, 29, 30, 31, 60, 29, 30, 31, 61, 29, 30, 31, 64, 29, 30, 32, 33]","[49, 3, 4, 5, 50, 3, 4, 5, 51, 3, 4, 5, 54, 26, 27, 55, 26, 27, 56, 26, 27, 59, 30, 31, 34, 60, 30, 31, 34, 61, 30, 31, 34, 64, 30, 33, 34]",False,0.3296296296296296
Account,OOP_prepared,"[51, 2, 3, 4, 5, 52, 2, 3, 4, 5, 55, 25, 26, 27, 58, 29, 30, 31, 34, 61, 29, 30, 33, 34, 64, 36, 37, 38, 39, 42, 67, 36, 37, 30, 40, 41, 42, 70, 10, 11, 71, 7, 8, 74, 16, 17, 75, 13, 14, 78, 22, 23, 79, 19, 20]","[51, 3, 4, 5, 52, 3, 4, 5, 55, 26, 27, 58, 30, 31, 34, 61, 30, 33, 34, 64, 37, 38, 39, 42, 67, 37, 41, 42, 70, 11, 71, 8, 74, 17, 75, 14, 78, 23, 79, 20]",False,0.4171270718232044
AnimalAbstract,OOP_prepared,"[44, 45, 9, 10, 46, 22, 9, 10, 23, 47, 18, 31, 32, 31, 18]","[45, 10, 46, 23, 47, 19]",False,0.5679012345679012
AnimalAbstract,OOP_prepared,"[45, 46, 22, 9, 47, 9, 48, 31, 32]","[46, 23, 47, 10, 48, 32]",False,0.7543859649122807
AnimalAbstract,OOP_prepared,"[44, 45, 22, 10, 46, 22, 10, 47, 31, 32]","[45, 23, 46, 23, 47, 32]",False,0.7142857142857143
AnimalAbstract,OOP_prepared,"[44, 46, 47, 48]","[45, 46, 47, 48]",False,0.967741935483871
AnimalAbstract,OOP_prepared,"[44, 45, 35, 38, 39, 46, 22, 24, 25, 12, 13, 26, 47, 31, 32, 48, 49, 50, 51]","[45, 36, 46, 23, 47, 32, 48, 49, 50, 51]",False,0.6782608695652174
