Filename,Category,Predicted,Actual,Matched,Distance
Account_2,OOP_prepared,"[84, 85, 2, 3, 4, 5, 6, 7, 43, 44, 45, 46, 86, 73, 74, 77]","[85, 3, 4, 5, 6, 7, 44, 45, 46, 86, 74, 77, 78]",False,0.8173076923076923
Account_2,OOP_prepared,"[84, 85, 2, 3, 4, 5, 6, 7, 43, 44, 45, 46, 73, 74, 75]","[85, 3, 4, 5, 6, 7, 44, 45, 46, 86, 74, 75, 78]",False,0.83
Account_2,OOP_prepared,[],"[85, 3, 4, 5, 6, 7, 86, 3, 4, 5, 6, 7, 87, 3, 4, 5, 6, 7, 89, 44, 45, 46, 90, 44, 45, 46, 91, 44, 45, 46, 94, 74, 77, 78, 95, 70, 71, 96, 74, 75, 78, 97, 70, 71, 98, 74, 77, 78, 101, 33, 70, 71, 102, 33, 74, 77, 78, 103, 33, 70, 71]",False,0.012875536480686695
Account_2,OOP_prepared,"[84, 86, 2, 3, 4, 6, 7, 5, 87, 2, 3, 4, 6, 7, 5, 88, 2, 3, 4, 6, 7, 5, 90, 43, 44, 46, 45, 91, 43, 44, 46, 45, 92, 43, 44, 46, 45, 96, 73, 74, 77, 97, 69, 67, 32, 70, 100, 73, 74, 77, 101, 69, 67, 70]","[86, 3, 4, 5, 6, 7, 87, 3, 4, 5, 6, 7, 88, 3, 4, 5, 6, 7, 90, 44, 45, 46, 91, 44, 45, 46, 92, 44, 45, 46, 95, 96, 74, 77, 78, 97, 33, 70, 71, 100, 74, 77, 78, 101, 70, 71]",False,0.0918918918918919
Account_2,OOP_prepared,"[86, 2, 3, 4, 5, 6, 7, 90, 43, 44, 45, 46, 91, 43, 44, 45, 46, 92, 43, 44, 45, 46, 95, 66, 17, 18, 32, 33, 96, 60, 74, 75, 101, 60, 73, 76, 77, 78, 102, 66, 17, 18, 32, 33, 105, 69, 70, 71, 106, 60, 73, 76, 77, 78]","[86, 3, 4, 5, 6, 7, 87, 3, 4, 5, 6, 7, 88, 3, 4, 5, 6, 7, 90, 44, 45, 46, 91, 44, 45, 46, 92, 44, 45, 46, 95, 33, 70, 71, 96, 74, 77, 78, 97, 33, 70, 71, 100, 101, 74, 77, 78, 102, 33, 70, 71, 105, 70, 71, 106, 74, 77, 78]",False,0.1103448275862069
Account,OOP_prepared,"[48, 49, 2, 3, 4, 5, 50, 2, 3, 4, 5, 51, 36, 37, 38, 39, 42]","[49, 3, 4, 5, 50, 3, 4, 5, 51, 37, 38, 39, 42]",False,0.8666666666666667
Account,OOP_prepared,"[51, 2, 3, 4, 5, 52, 2, 3, 4, 5, 53, 2, 3, 4, 5, 56, 25, 26, 27, 57, 25, 26, 27, 58, 25, 26, 27, 61, 36, 37, 20, 38, 23, 20, 31, 23, 62, 36, 37, 20, 38, 23, 20, 31, 23, 64, 29, 30, 31, 65, 29, 30, 32, 33, 66, 29, 30, 31]","[51, 3, 4, 5, 52, 3, 4, 5, 53, 3, 4, 5, 56, 26, 27, 57, 26, 27, 58, 26, 27, 61, 37, 38, 39, 42, 62, 37, 38, 39, 42, 64, 30, 31, 34, 65, 30, 33, 34, 66, 30, 31, 34]",False,0.39267015706806285
Account,OOP_prepared,"[48, 49, 2, 3, 4, 5, 50, 2, 3, 4, 5, 51, 2, 3, 4, 5, 54, 29, 30, 26, 34, 55, 29, 30, 32, 33, 34, 56, 29, 30, 26, 34]","[49, 3, 4, 5, 50, 3, 4, 5, 51, 3, 4, 5, 54, 30, 33, 34, 55, 30, 33, 34, 56, 30, 31, 34]",False,0.26732673267326734
Account,OOP_prepared,"[49, 2, 3, 4, 5, 54, 25, 26, 27, 55, 25, 26, 27, 56, 25, 26, 27, 59, 29, 30, 23, 60, 29, 30, 23, 61, 29, 30, 23, 64, 29, 30, 32, 33, 34]","[49, 3, 4, 5, 50, 3, 4, 5, 51, 3, 4, 5, 54, 26, 27, 55, 26, 27, 56, 26, 27, 59, 30, 31, 34, 60, 30, 31, 34, 61, 30, 31, 34, 64, 30, 33, 34]",False,0.12773722627737227
Account,OOP_prepared,"[51, 2, 3, 4, 5, 52, 2, 3, 4, 5, 55, 25, 26, 58, 29, 30, 31, 61, 29, 30, 33, 64, 36, 37, 38, 39, 67, 36, 37, 33, 70, 10, 71, 8, 74, 16, 75, 14, 78, 22, 79, 20]","[51, 3, 4, 5, 52, 3, 4, 5, 55, 26, 27, 58, 30, 31, 34, 61, 30, 33, 34, 64, 37, 38, 39, 42, 67, 37, 41, 42, 70, 11, 71, 8, 74, 17, 75, 14, 78, 23, 79, 20]",False,0.4180064308681672
