Filename,Category,Predicted,Actual,Matched,Distance
Account_2,OOP_prepared,"[84, 85, 3, 4, 5, 6, 7, 43, 44, 45, 46, 86, 74, 76, 77, 78]","[85, 3, 4, 5, 6, 7, 44, 45, 46, 86, 74, 77, 78]",False,0.8857142857142857
Account_2,OOP_prepared,"[84, 85, 3, 4, 5, 6, 7, 43, 44, 45, 46, 86, 74, 75]","[85, 3, 4, 5, 6, 7, 44, 45, 46, 86, 74, 75, 78]",False,0.8762886597938144
Account_2,OOP_prepared,"[84, 85, 2, 3, 4, 5, 6, 7, 86, 2, 3, 4, 5, 6, 7, 87, 2, 3, 4, 5, 6, 7, 89, 43, 44, 45, 46, 90, 43, 44, 45, 46, 91, 43, 44, 45, 46, 94, 73, 74, 76, 77, 78, 95, 69, 70, 71, 96, 73, 74, 75, 97, 69, 70, 71, 98, 73, 74, 76, 77, 78, 101, 32, 33, 69, 70, 71, 102, 32, 33, 73, 74, 76, 77, 78, 103, 32, 33, 69, 70, 71]","[85, 3, 4, 5, 6, 7, 86, 3, 4, 5, 6, 7, 87, 3, 4, 5, 6, 7, 89, 44, 45, 46, 90, 44, 45, 46, 91, 44, 45, 46, 94, 74, 77, 78, 95, 70, 71, 96, 74, 75, 78, 97, 70, 71, 98, 74, 77, 78, 101, 33, 70, 71, 102, 33, 74, 77, 78, 103, 33, 70, 71]",False,0.05740740740740741
Account_2,OOP_prepared,"[84, 86, 3, 4, 5, 6, 7, 87, 3, 4, 5, 6, 7, 88, 3, 4, 5, 6, 7, 90, 44, 45, 46, 91, 44, 45, 46, 92, 44, 45, 46, 95, 96, 74, 76, 77, 78, 97, 32, 70, 71, 99, 74, 76, 77, 78, 100, 70, 71]","[86, 3, 4, 5, 6, 7, 87, 3, 4, 5, 6, 7, 88, 3, 4, 5, 6, 7, 90, 44, 45, 46, 91, 44, 45, 46, 92, 44, 45, 46, 95, 96, 74, 77, 78, 97, 33, 70, 71, 100, 74, 77, 78, 101, 70, 71]",False,0.8494318181818182
Account_2,OOP_prepared,"[84, 86, 3, 4, 5, 6, 7, 87, 3, 4, 5, 6, 7, 88, 3, 4, 5, 6, 7, 90, 44, 45, 46, 91, 44, 45, 46, 92, 44, 45, 46, 95, 32, 33, 70, 71, 96, 74, 77, 78, 97, 32, 33, 70, 71, 100, 101, 74, 77, 78, 102, 32, 33, 70, 71, 105, 70, 71, 106, 74, 77, 78]","[86, 3, 4, 5, 6, 7, 87, 3, 4, 5, 6, 7, 88, 3, 4, 5, 6, 7, 90, 44, 45, 46, 91, 44, 45, 46, 92, 44, 45, 46, 95, 33, 70, 71, 96, 74, 77, 78, 97, 33, 70, 71, 100, 101, 74, 77, 78, 102, 33, 70, 71, 105, 70, 71, 106, 74, 77, 78]",False,0.673202614379085
Account,OOP_prepared,"[48, 49, 3, 4, 5, 50, 3, 4, 5, 51, 37, 38, 39]","[49, 3, 4, 5, 50, 3, 4, 5, 51, 37, 38, 39, 42]",False,0.9120879120879121
Account,OOP_prepared,ERROR,ERROR,False,N/A
Account,OOP_prepared,"[48, 49, 3, 4, 5, 50, 3, 4, 5, 51, 3, 4, 5, 54, 30, 32, 33, 34, 55, 30, 32, 33, 34, 56, 30, 31, 34]","[49, 3, 4, 5, 50, 3, 4, 5, 51, 3, 4, 5, 54, 30, 33, 34, 55, 30, 33, 34, 56, 30, 31, 34]",False,0.9351351351351351
Account,OOP_prepared,ERROR,ERROR,False,N/A
Account,OOP_prepared,ERROR,ERROR,False,N/A
AnimalAbstract,OOP_prepared,"[44, 45, 9, 10, 46, 22, 23, 47, 18, 19]","[45, 10, 46, 23, 47, 19]",False,0.7580645161290323
AnimalAbstract,OOP_prepared,"[45, 46, 22, 23, 47, 9, 10, 48, 31, 32]","[46, 23, 47, 10, 48, 32]",False,0.7580645161290323
AnimalAbstract,OOP_prepared,"[44, 45, 22, 23, 46, 22, 23, 47, 31, 32]","[45, 23, 46, 23, 47, 32]",False,0.746031746031746
AnimalAbstract,OOP_prepared,"[44, 45, 46, 47, 48]","[45, 46, 47, 48]",False,0.8857142857142857
AnimalAbstract,OOP_prepared,"[44, 45, 35, 36, 46, 22, 23, 47, 31, 32, 48, 49, 50, 51]","[45, 36, 46, 23, 47, 32, 48, 49, 50, 51]",False,0.8315789473684211
Animals,OOP_prepared,"[42, 43, 19, 11, 3, 12, 20, 44, 25, 14, 6, 15, 26, 45, 22, 23]","[43, 19, 11, 3, 44, 25, 14, 6, 45, 22]",False,0.7575757575757576
Animals,OOP_prepared,"[42, 43, 30, 11, 3, 12, 31, 44, 39, 14, 6, 15, 40, 45, 33, 34]","[43, 30, 11, 3, 44, 39, 14, 6, 45, 33]",False,0.7575757575757576
Animals,OOP_prepared,"[42, 43, 30, 11, 3, 11, 30, 44, 30, 11, 3, 11, 30, 45, 36]","[43, 30, 11, 3, 44, 30, 11, 3, 45, 36]",False,0.7894736842105263
Animals,OOP_prepared,"[42, 43, 18, 19, 10, 11, 2, 3, 44, 24, 25, 13, 14, 5, 6, 45, 10, 11, 2, 3, 46, 13, 14, 5, 6]","[43, 19, 11, 3, 44, 25, 14, 6, 45, 11, 3, 46, 14, 6]",False,0.7202797202797203
Animals,OOP_prepared,"[42, 43, 3, 44, 6, 45, 3, 46, 6]","[43, 3, 44, 6, 45, 3, 46, 6]",False,0.9322033898305084
Animal,OOP_prepared,"[48, 49, 11, 2, 3, 50, 11, 2, 3, 51, 20]","[49, 11, 3, 50, 11, 3, 51, 20]",False,0.855072463768116
Animal,OOP_prepared,"[48, 49, 10, 11, 2, 3, 50, 24, 25, 10, 11, 2, 3, 51, 19, 20]","[49, 11, 3, 50, 25, 11, 3, 51, 20]",False,0.7204301075268817
Animal,OOP_prepared,"[48, 49, 24, 25, 10, 11, 2, 3, 50, 24, 25, 10, 11, 2, 3, 51, 33, 34]","[49, 25, 11, 3, 50, 25, 11, 3, 51, 34]",False,0.7142857142857143
Animal,OOP_prepared,"[48, 49, 39, 3, 50, 51, 45]","[49, 39, 3, 50, 51, 45]",False,0.9183673469387755
Animal,OOP_prepared,"[48, 49, 3, 50, 51, 6, 52, 53]","[49, 3, 50, 51, 6, 52, 53]",False,0.9272727272727272
Ball,OOP_prepared,"[53, 54, 3, 4, 5, 6, 7, 55, 40, 41, 56, 50]","[54, 3, 4, 5, 6, 7, 55, 40, 41, 56, 50]",False,0.9506172839506173
Ball,OOP_prepared,"[53, 3, 4, 5, 6, 7, 54, 40, 41, 55, 50, 56, 44, 57, 47, 58, 40, 41]","[53, 3, 4, 5, 6, 7, 54, 40, 41, 55, 50, 56, 44, 57, 47, 58, 40, 41]",True,1.0
Ball,OOP_prepared,"[54, 3, 4, 5, 6, 7, 55, 44, 56, 40, 41, 57, 47, 58, 40, 41, 59, 50]","[54, 3, 4, 5, 6, 7, 55, 44, 56, 40, 41, 57, 47, 58, 40, 41, 59, 50]",True,1.0
Ball,OOP_prepared,"[53, 54, 3, 4, 5, 6, 7, 55, 56, 40, 41, 57, 44, 58, 40, 41, 59, 47, 60, 50, 56, 40, 41, 57, 44, 58, 40, 41, 59, 47, 60, 50, 56, 40, 41, 57, 44, 58, 40, 41, 59, 47, 60, 50]","[54, 3, 4, 5, 6, 7, 55, 56, 40, 41, 55, 56, 40, 41, 55, 56, 40, 41, 55, 57, 44, 58, 40, 41, 59, 47, 60, 50]",False,0.30324909747292417
Ball,OOP_prepared,"[55, 3, 4, 5, 6, 7, 56, 50, 57, 40, 41, 58, 50]","[55, 3, 4, 5, 6, 7, 56, 50, 57, 40, 41, 58, 50]",True,1.0
Book1_,OOP_prepared,"[70, 71, 36, 2, 3, 4, 5, 6, 9, 37, 38, 39, 40, 41, 72, 66, 31, 32, 67]","[71, 3, 4, 5, 6, 37, 38, 39, 40, 72, 67, 32]",False,0.6991150442477876
Book1_,OOP_prepared,"[70, 71, 3, 4, 5, 6, 72, 37, 38, 39, 40, 73, 67, 32]","[71, 3, 4, 5, 6, 72, 37, 38, 39, 40, 73, 67, 32]",False,0.9595959595959596
Book1_,OOP_prepared,"[70, 71, 3, 4, 5, 6, 72, 37, 38, 39, 40, 73, 64, 74, 67, 32]","[71, 3, 4, 5, 6, 72, 37, 38, 39, 40, 73, 64, 74, 67, 32]",False,0.9652173913043478
Book1_,OOP_prepared,"[71, 3, 4, 5, 6, 72, 37, 38, 39, 40, 73, 46, 74, 58, 75, 67, 32]","[71, 3, 4, 5, 6, 72, 37, 38, 39, 40, 73, 46, 74, 58, 75, 67, 32]",True,1.0
Book1_,OOP_prepared,"[71, 3, 4, 5, 6, 72, 37, 38, 39, 40, 73, 64, 74, 58, 75, 67, 32]","[71, 3, 4, 5, 6, 72, 37, 38, 39, 40, 73, 64, 74, 58, 75, 67, 32]",True,1.0
Book_2,OOP_prepared,ERROR,ERROR,False,N/A
