Filename,Category,Predicted,Actual,Matched,Distance
Account_2,OOP_prepared,"[85, 43, 44, 45, 46, 2, 3, 4, 5, 6, 7, 86, 73, 74, 76, 77, 78]","[85, 3, 4, 5, 6, 7, 44, 45, 46, 86, 74, 77, 78]",False,0.6388888888888888
Account_2,OOP_prepared,"[85, 43, 44, 45, 46, 2, 3, 4, 5, 6, 7, 86, 73, 74, 75]","[85, 3, 4, 5, 6, 7, 44, 45, 46, 86, 74, 75, 78]",False,0.66
Account_2,OOP_prepared,"[85, 2, 3, 4, 5, 6, 7, 86, 2, 3, 4, 5, 6, 7, 87, 2, 3, 4, 5, 6, 7, 89, 43, 44, 45, 46, 90, 43, 44, 45, 46, 91, 43, 44, 45, 46, 94, 74, 77, 78, 95, 70, 71, 96, 74, 75, 97, 70, 71, 98, 74, 77, 78, 101, 32, 70, 71, 102, 32, 74, 77, 78, 103, 32, 70, 71]","[85, 3, 4, 5, 6, 7, 86, 3, 4, 5, 6, 7, 87, 3, 4, 5, 6, 7, 89, 44, 45, 46, 90, 44, 45, 46, 91, 44, 45, 46, 94, 74, 77, 78, 95, 70, 71, 96, 74, 75, 78, 97, 70, 71, 98, 74, 77, 78, 101, 33, 70, 71, 102, 33, 74, 77, 78, 103, 33, 70, 71]",False,0.058333333333333334
Account_2,OOP_prepared,"[84, 86, 2, 3, 4, 5, 6, 7, 87, 2, 3, 4, 5, 6, 7, 88, 2, 3, 4, 5, 6, 7, 90, 43, 44, 45, 46, 91, 43, 44, 45, 46, 92, 43, 44, 45, 46, 95, 96, 73, 74, 76, 77, 78, 97, 32, 33, 69, 70, 71, 100, 73, 74, 76, 77, 78, 101, 69, 70, 71]","[86, 3, 4, 5, 6, 7, 87, 3, 4, 5, 6, 7, 88, 3, 4, 5, 6, 7, 90, 44, 45, 46, 91, 44, 45, 46, 92, 44, 45, 46, 95, 96, 74, 77, 78, 97, 33, 70, 71, 100, 74, 77, 78, 101, 70, 71]",False,0.07360406091370558
Account_2,OOP_prepared,"[84, 86, 2, 3, 4, 5, 6, 7, 87, 2, 3, 4, 5, 6, 7, 88, 2, 3, 4, 5, 6, 7, 90, 43, 44, 45, 46, 91, 43, 44, 45, 46, 92, 43, 44, 45, 46, 95, 32, 12, 70, 71, 96, 73, 74, 77, 78, 97, 32, 12, 70, 71, 100, 101, 73, 74, 77, 78, 102, 32, 12, 70, 71, 105, 69, 70, 71, 106, 73, 74, 77, 78]","[86, 3, 4, 5, 6, 7, 87, 3, 4, 5, 6, 7, 88, 3, 4, 5, 6, 7, 90, 44, 45, 46, 91, 44, 45, 46, 92, 44, 45, 46, 95, 33, 70, 71, 96, 74, 77, 78, 97, 33, 70, 71, 100, 101, 74, 77, 78, 102, 33, 70, 71, 105, 70, 71, 106, 74, 77, 78]",False,0.06048387096774194
Account,OOP_prepared,"[49, 3, 4, 5, 50, 3, 4, 5, 51, 37, 38, 39, 42]","[49, 3, 4, 5, 50, 3, 4, 5, 51, 37, 38, 39, 42]",True,1.0
Account,OOP_prepared,"[49, 51, 3, 4, 5, 52, 3, 4, 5, 53, 3, 4, 5, 56, 26, 27, 57, 26, 27, 58, 26, 27, 61, 37, 38, 39, 42, 62, 37, 38, 39, 42, 64, 30, 31, 34, 65, 30, 31, 34, 66, 30, 31, 34]","[51, 3, 4, 5, 52, 3, 4, 5, 53, 3, 4, 5, 56, 26, 27, 57, 26, 27, 58, 26, 27, 61, 37, 38, 39, 42, 62, 37, 38, 39, 42, 64, 30, 31, 34, 65, 30, 33, 34, 66, 30, 31, 34]",False,0.9848024316109423
Account,OOP_prepared,"[49, 3, 4, 5, 50, 3, 4, 5, 51, 3, 4, 5, 54, 30, 32, 33, 34, 55, 30, 32, 33, 34, 56, 30, 31, 34]","[49, 3, 4, 5, 50, 3, 4, 5, 51, 3, 4, 5, 54, 30, 33, 34, 55, 30, 33, 34, 56, 30, 31, 34]",False,0.9558011049723757
Account,OOP_prepared,"[47, 49, 2, 3, 4, 5, 50, 2, 3, 4, 5, 51, 2, 3, 4, 5, 54, 25, 26, 27, 55, 25, 26, 27, 56, 25, 26, 27, 59, 29, 30, 31, 34, 60, 29, 30, 31, 34, 61, 29, 30, 31, 34, 64, 29, 30, 32, 33, 34]","[49, 3, 4, 5, 50, 3, 4, 5, 51, 3, 4, 5, 54, 26, 27, 55, 26, 27, 56, 26, 27, 59, 30, 31, 34, 60, 30, 31, 34, 61, 30, 31, 34, 64, 30, 33, 34]",False,0.2360248447204969
Account,OOP_prepared,"[51, 2, 3, 4, 5, 52, 2, 3, 4, 5, 55, 25, 26, 27, 58, 29, 30, 31, 34, 61, 29, 30, 32, 33, 34, 64, 36, 37, 38, 39, 42, 67, 36, 37, 40, 41, 42, 70, 10, 11, 71, 7, 8, 74, 16, 17, 75, 13, 14, 78, 22, 23, 79, 19, 20]","[51, 3, 4, 5, 52, 3, 4, 5, 55, 26, 27, 58, 30, 31, 34, 61, 30, 33, 34, 64, 37, 38, 39, 42, 67, 37, 41, 42, 70, 11, 71, 8, 74, 17, 75, 14, 78, 23, 79, 20]",False,0.4171270718232044
