,HumanEval_ID,Name,FunctionCall,ExecutedLines,ExecutedLines_Symbols,Code_Indices,Code_Symbols
0,HumanEval/0,has_close_elements,"[1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.3","[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 19]",nopopqropqropqropqropqronopqropopqropqropqropqrs,"from typing import List  #Line 1
  #Line 2
  #Line 3
def has_close_elements(numbers: List[float], threshold: float) -> bool:  #Line 4
  #Line 5
    """""" Check if in given list of numbers, are any two numbers closer to each other than  #Line 6
    given threshold.  #Line 7
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)  #Line 8
    False  #Line 9
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)  #Line 10
    True  #Line 11
    """"""  #Line 12
  #Line 13
    for idx, elem in enumerate(numbers):  #Line 14
        for idx2, elem2 in enumerate(numbers):  #Line 15
            if idx != idx2:  #Line 16
                distance = abs(elem - elem2)  #Line 17
                if distance < threshold:  #Line 18
                    return True  #Line 19
  #Line 20
    return False  #Line 21
  #Line 22","from typing import List  # a
  # b
  # c
def has_close_elements(numbers: List[float], threshold: float) -> bool:  # d
  # e
    """""" Check if in given list of numbers, are any two numbers closer to each other than  # f
    given threshold.  # g
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)  # h
    False  # i
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)  # j
    True  # k
    """"""  # l
  # m
    for idx, elem in enumerate(numbers):  # n
        for idx2, elem2 in enumerate(numbers):  # o
            if idx != idx2:  # p
                distance = abs(elem - elem2)  # q
                if distance < threshold:  # r
                    return True  # s
  # t
    return False  # u
  # v"
1,HumanEval/0,has_close_elements,"[1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.05","[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 14, 21]",nopopqropqropqropqropqronopqropopqropqropqropqronopqropqropopqropqropqronopqropqropqropopqropqronopqropqropqropqropopqronopqropqropqropqropqroponu,"from typing import List  #Line 1
  #Line 2
  #Line 3
def has_close_elements(numbers: List[float], threshold: float) -> bool:  #Line 4
  #Line 5
    """""" Check if in given list of numbers, are any two numbers closer to each other than  #Line 6
    given threshold.  #Line 7
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)  #Line 8
    False  #Line 9
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)  #Line 10
    True  #Line 11
    """"""  #Line 12
  #Line 13
    for idx, elem in enumerate(numbers):  #Line 14
        for idx2, elem2 in enumerate(numbers):  #Line 15
            if idx != idx2:  #Line 16
                distance = abs(elem - elem2)  #Line 17
                if distance < threshold:  #Line 18
                    return True  #Line 19
  #Line 20
    return False  #Line 21
  #Line 22","from typing import List  # a
  # b
  # c
def has_close_elements(numbers: List[float], threshold: float) -> bool:  # d
  # e
    """""" Check if in given list of numbers, are any two numbers closer to each other than  # f
    given threshold.  # g
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)  # h
    False  # i
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)  # j
    True  # k
    """"""  # l
  # m
    for idx, elem in enumerate(numbers):  # n
        for idx2, elem2 in enumerate(numbers):  # o
            if idx != idx2:  # p
                distance = abs(elem - elem2)  # q
                if distance < threshold:  # r
                    return True  # s
  # t
    return False  # u
  # v"
2,HumanEval/0,has_close_elements,"[1.0, 2.0, 5.9, 4.0, 5.0], 0.95","[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 19]",nopopqropqropqropqronopqropopqropqropqronopqropqropopqropqrs,"from typing import List  #Line 1
  #Line 2
  #Line 3
def has_close_elements(numbers: List[float], threshold: float) -> bool:  #Line 4
  #Line 5
    """""" Check if in given list of numbers, are any two numbers closer to each other than  #Line 6
    given threshold.  #Line 7
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)  #Line 8
    False  #Line 9
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)  #Line 10
    True  #Line 11
    """"""  #Line 12
  #Line 13
    for idx, elem in enumerate(numbers):  #Line 14
        for idx2, elem2 in enumerate(numbers):  #Line 15
            if idx != idx2:  #Line 16
                distance = abs(elem - elem2)  #Line 17
                if distance < threshold:  #Line 18
                    return True  #Line 19
  #Line 20
    return False  #Line 21
  #Line 22","from typing import List  # a
  # b
  # c
def has_close_elements(numbers: List[float], threshold: float) -> bool:  # d
  # e
    """""" Check if in given list of numbers, are any two numbers closer to each other than  # f
    given threshold.  # g
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)  # h
    False  # i
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)  # j
    True  # k
    """"""  # l
  # m
    for idx, elem in enumerate(numbers):  # n
        for idx2, elem2 in enumerate(numbers):  # o
            if idx != idx2:  # p
                distance = abs(elem - elem2)  # q
                if distance < threshold:  # r
                    return True  # s
  # t
    return False  # u
  # v"
3,HumanEval/0,has_close_elements,"[1.0, 2.0, 5.9, 4.0, 5.0], 0.8","[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 14, 21]",nopopqropqropqropqronopqropopqropqropqronopqropqropopqropqronopqropqropqropopqronopqropqropqropqroponu,"from typing import List  #Line 1
  #Line 2
  #Line 3
def has_close_elements(numbers: List[float], threshold: float) -> bool:  #Line 4
  #Line 5
    """""" Check if in given list of numbers, are any two numbers closer to each other than  #Line 6
    given threshold.  #Line 7
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)  #Line 8
    False  #Line 9
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)  #Line 10
    True  #Line 11
    """"""  #Line 12
  #Line 13
    for idx, elem in enumerate(numbers):  #Line 14
        for idx2, elem2 in enumerate(numbers):  #Line 15
            if idx != idx2:  #Line 16
                distance = abs(elem - elem2)  #Line 17
                if distance < threshold:  #Line 18
                    return True  #Line 19
  #Line 20
    return False  #Line 21
  #Line 22","from typing import List  # a
  # b
  # c
def has_close_elements(numbers: List[float], threshold: float) -> bool:  # d
  # e
    """""" Check if in given list of numbers, are any two numbers closer to each other than  # f
    given threshold.  # g
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)  # h
    False  # i
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)  # j
    True  # k
    """"""  # l
  # m
    for idx, elem in enumerate(numbers):  # n
        for idx2, elem2 in enumerate(numbers):  # o
            if idx != idx2:  # p
                distance = abs(elem - elem2)  # q
                if distance < threshold:  # r
                    return True  # s
  # t
    return False  # u
  # v"
4,HumanEval/0,has_close_elements,"[1.0, 2.0, 3.0, 4.0, 5.0, 2.0], 0.1","[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 19]",nopopqropqropqropqropqronopqropopqropqropqropqrs,"from typing import List  #Line 1
  #Line 2
  #Line 3
def has_close_elements(numbers: List[float], threshold: float) -> bool:  #Line 4
  #Line 5
    """""" Check if in given list of numbers, are any two numbers closer to each other than  #Line 6
    given threshold.  #Line 7
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)  #Line 8
    False  #Line 9
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)  #Line 10
    True  #Line 11
    """"""  #Line 12
  #Line 13
    for idx, elem in enumerate(numbers):  #Line 14
        for idx2, elem2 in enumerate(numbers):  #Line 15
            if idx != idx2:  #Line 16
                distance = abs(elem - elem2)  #Line 17
                if distance < threshold:  #Line 18
                    return True  #Line 19
  #Line 20
    return False  #Line 21
  #Line 22","from typing import List  # a
  # b
  # c
def has_close_elements(numbers: List[float], threshold: float) -> bool:  # d
  # e
    """""" Check if in given list of numbers, are any two numbers closer to each other than  # f
    given threshold.  # g
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)  # h
    False  # i
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)  # j
    True  # k
    """"""  # l
  # m
    for idx, elem in enumerate(numbers):  # n
        for idx2, elem2 in enumerate(numbers):  # o
            if idx != idx2:  # p
                distance = abs(elem - elem2)  # q
                if distance < threshold:  # r
                    return True  # s
  # t
    return False  # u
  # v"
5,HumanEval/0,has_close_elements,"[1.1, 2.2, 3.1, 4.1, 5.1], 1.0","[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 19]",nopopqropqropqropqronopqropopqrs,"from typing import List  #Line 1
  #Line 2
  #Line 3
def has_close_elements(numbers: List[float], threshold: float) -> bool:  #Line 4
  #Line 5
    """""" Check if in given list of numbers, are any two numbers closer to each other than  #Line 6
    given threshold.  #Line 7
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)  #Line 8
    False  #Line 9
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)  #Line 10
    True  #Line 11
    """"""  #Line 12
  #Line 13
    for idx, elem in enumerate(numbers):  #Line 14
        for idx2, elem2 in enumerate(numbers):  #Line 15
            if idx != idx2:  #Line 16
                distance = abs(elem - elem2)  #Line 17
                if distance < threshold:  #Line 18
                    return True  #Line 19
  #Line 20
    return False  #Line 21
  #Line 22","from typing import List  # a
  # b
  # c
def has_close_elements(numbers: List[float], threshold: float) -> bool:  # d
  # e
    """""" Check if in given list of numbers, are any two numbers closer to each other than  # f
    given threshold.  # g
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)  # h
    False  # i
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)  # j
    True  # k
    """"""  # l
  # m
    for idx, elem in enumerate(numbers):  # n
        for idx2, elem2 in enumerate(numbers):  # o
            if idx != idx2:  # p
                distance = abs(elem - elem2)  # q
                if distance < threshold:  # r
                    return True  # s
  # t
    return False  # u
  # v"
6,HumanEval/0,has_close_elements,"[1.1, 2.2, 3.1, 4.1, 5.1], 0.5","[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 14, 21]",nopopqropqropqropqronopqropopqropqropqronopqropqropopqropqronopqropqropqropopqronopqropqropqropqroponu,"from typing import List  #Line 1
  #Line 2
  #Line 3
def has_close_elements(numbers: List[float], threshold: float) -> bool:  #Line 4
  #Line 5
    """""" Check if in given list of numbers, are any two numbers closer to each other than  #Line 6
    given threshold.  #Line 7
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)  #Line 8
    False  #Line 9
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)  #Line 10
    True  #Line 11
    """"""  #Line 12
  #Line 13
    for idx, elem in enumerate(numbers):  #Line 14
        for idx2, elem2 in enumerate(numbers):  #Line 15
            if idx != idx2:  #Line 16
                distance = abs(elem - elem2)  #Line 17
                if distance < threshold:  #Line 18
                    return True  #Line 19
  #Line 20
    return False  #Line 21
  #Line 22","from typing import List  # a
  # b
  # c
def has_close_elements(numbers: List[float], threshold: float) -> bool:  # d
  # e
    """""" Check if in given list of numbers, are any two numbers closer to each other than  # f
    given threshold.  # g
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)  # h
    False  # i
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)  # j
    True  # k
    """"""  # l
  # m
    for idx, elem in enumerate(numbers):  # n
        for idx2, elem2 in enumerate(numbers):  # o
            if idx != idx2:  # p
                distance = abs(elem - elem2)  # q
                if distance < threshold:  # r
                    return True  # s
  # t
    return False  # u
  # v"
7,HumanEval/1,separate_paren_groups,"('( ) (( )) (( )( ))',)","[14, 15, 16, 18, 19, 20, 21, 18, 19, 22, 18, 19, 22, 23, 24, 26, 27, 28, 18, 19, 22, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 27, 28, 18, 19, 22, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 18, 19, 22, 23, 24, 26, 18, 19, 20, 21, 18, 19, 22, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 27, 28, 18, 30]",noprstursvrsvwxzABrsvrsturstursvrsvwxzrsvwxzABrsvrsturstursvrsvwxzrstursvrsvwxzrsvwxzABrD,"from typing import List  #Line 1
  #Line 2
  #Line 3
def separate_paren_groups(paren_string: str) -> List[str]:  #Line 4
  #Line 5
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to  #Line 6
    separate those group into separate strings and return the list of those.  #Line 7
    Separate groups are balanced (each open brace is properly closed) and not nested within each other  #Line 8
    Ignore any spaces in the input string.  #Line 9
    >>> separate_paren_groups('( ) (( )) (( )( ))')  #Line 10
    ['()', '(())', '(()())']  #Line 11
    """"""  #Line 12
  #Line 13
    result = []  #Line 14
    current_string = []  #Line 15
    current_depth = 0  #Line 16
  #Line 17
    for c in paren_string:  #Line 18
        if c == '(':  #Line 19
            current_depth += 1  #Line 20
            current_string.append(c)  #Line 21
        elif c == ')':  #Line 22
            current_depth -= 1  #Line 23
            current_string.append(c)  #Line 24
  #Line 25
            if current_depth == 0:  #Line 26
                result.append(''.join(current_string))  #Line 27
                current_string.clear()  #Line 28
  #Line 29
    return result  #Line 30
  #Line 31","from typing import List  # a
  # b
  # c
def separate_paren_groups(paren_string: str) -> List[str]:  # d
  # e
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to  # f
    separate those group into separate strings and return the list of those.  # g
    Separate groups are balanced (each open brace is properly closed) and not nested within each other  # h
    Ignore any spaces in the input string.  # i
    >>> separate_paren_groups('( ) (( )) (( )( ))')  # j
    ['()', '(())', '(()())']  # k
    """"""  # l
  # m
    result = []  # n
    current_string = []  # o
    current_depth = 0  # p
  # q
    for c in paren_string:  # r
        if c == '(':  # s
            current_depth += 1  # t
            current_string.append(c)  # u
        elif c == ')':  # v
            current_depth -= 1  # w
            current_string.append(c)  # x
  # y
            if current_depth == 0:  # z
                result.append(''.join(current_string))  # A
                current_string.clear()  # B
  # C
    return result  # D
  # E"
8,HumanEval/1,separate_paren_groups,"('(()(())((())))',)","[14, 15, 16, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 27, 28, 18, 30]",noprsturstursvwxzrsturstursvwxzrsvwxzrstursturstursvwxzrsvwxzrsvwxzrsvwxzABrD,"from typing import List  #Line 1
  #Line 2
  #Line 3
def separate_paren_groups(paren_string: str) -> List[str]:  #Line 4
  #Line 5
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to  #Line 6
    separate those group into separate strings and return the list of those.  #Line 7
    Separate groups are balanced (each open brace is properly closed) and not nested within each other  #Line 8
    Ignore any spaces in the input string.  #Line 9
    >>> separate_paren_groups('( ) (( )) (( )( ))')  #Line 10
    ['()', '(())', '(()())']  #Line 11
    """"""  #Line 12
  #Line 13
    result = []  #Line 14
    current_string = []  #Line 15
    current_depth = 0  #Line 16
  #Line 17
    for c in paren_string:  #Line 18
        if c == '(':  #Line 19
            current_depth += 1  #Line 20
            current_string.append(c)  #Line 21
        elif c == ')':  #Line 22
            current_depth -= 1  #Line 23
            current_string.append(c)  #Line 24
  #Line 25
            if current_depth == 0:  #Line 26
                result.append(''.join(current_string))  #Line 27
                current_string.clear()  #Line 28
  #Line 29
    return result  #Line 30
  #Line 31","from typing import List  # a
  # b
  # c
def separate_paren_groups(paren_string: str) -> List[str]:  # d
  # e
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to  # f
    separate those group into separate strings and return the list of those.  # g
    Separate groups are balanced (each open brace is properly closed) and not nested within each other  # h
    Ignore any spaces in the input string.  # i
    >>> separate_paren_groups('( ) (( )) (( )( ))')  # j
    ['()', '(())', '(()())']  # k
    """"""  # l
  # m
    result = []  # n
    current_string = []  # o
    current_depth = 0  # p
  # q
    for c in paren_string:  # r
        if c == '(':  # s
            current_depth += 1  # t
            current_string.append(c)  # u
        elif c == ')':  # v
            current_depth -= 1  # w
            current_string.append(c)  # x
  # y
            if current_depth == 0:  # z
                result.append(''.join(current_string))  # A
                current_string.clear()  # B
  # C
    return result  # D
  # E"
9,HumanEval/1,separate_paren_groups,"('() (()) ((())) (((())))',)","[14, 15, 16, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 27, 28, 18, 19, 22, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 27, 28, 18, 19, 22, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 27, 28, 18, 19, 22, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 27, 28, 18, 30]",noprstursvwxzABrsvrsturstursvwxzrsvwxzABrsvrstursturstursvwxzrsvwxzrsvwxzABrsvrsturstursturstursvwxzrsvwxzrsvwxzrsvwxzABrD,"from typing import List  #Line 1
  #Line 2
  #Line 3
def separate_paren_groups(paren_string: str) -> List[str]:  #Line 4
  #Line 5
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to  #Line 6
    separate those group into separate strings and return the list of those.  #Line 7
    Separate groups are balanced (each open brace is properly closed) and not nested within each other  #Line 8
    Ignore any spaces in the input string.  #Line 9
    >>> separate_paren_groups('( ) (( )) (( )( ))')  #Line 10
    ['()', '(())', '(()())']  #Line 11
    """"""  #Line 12
  #Line 13
    result = []  #Line 14
    current_string = []  #Line 15
    current_depth = 0  #Line 16
  #Line 17
    for c in paren_string:  #Line 18
        if c == '(':  #Line 19
            current_depth += 1  #Line 20
            current_string.append(c)  #Line 21
        elif c == ')':  #Line 22
            current_depth -= 1  #Line 23
            current_string.append(c)  #Line 24
  #Line 25
            if current_depth == 0:  #Line 26
                result.append(''.join(current_string))  #Line 27
                current_string.clear()  #Line 28
  #Line 29
    return result  #Line 30
  #Line 31","from typing import List  # a
  # b
  # c
def separate_paren_groups(paren_string: str) -> List[str]:  # d
  # e
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to  # f
    separate those group into separate strings and return the list of those.  # g
    Separate groups are balanced (each open brace is properly closed) and not nested within each other  # h
    Ignore any spaces in the input string.  # i
    >>> separate_paren_groups('( ) (( )) (( )( ))')  # j
    ['()', '(())', '(()())']  # k
    """"""  # l
  # m
    result = []  # n
    current_string = []  # o
    current_depth = 0  # p
  # q
    for c in paren_string:  # r
        if c == '(':  # s
            current_depth += 1  # t
            current_string.append(c)  # u
        elif c == ')':  # v
            current_depth -= 1  # w
            current_string.append(c)  # x
  # y
            if current_depth == 0:  # z
                result.append(''.join(current_string))  # A
                current_string.clear()  # B
  # C
    return result  # D
  # E"
