Filename,Category,Predicted,Actual,Matched,Distance
Account_2,OOP_prepared,"[84,  85,  3,  4,  5,  6,  7,  43,  44,  45,  46,  86,  73,  74,  76,  77,  78]","[85, 3, 4, 5, 6, 7, 44, 45, 46, 86, 74, 77, 78]",False,0.744
Account_2,OOP_prepared,"[84,  85,  2,  3,  4,  5,  6,  7,  43,  44,  45,  46,  86,  73,  74,  75]","[85, 3, 4, 5, 6, 7, 44, 45, 46, 86, 74, 75, 78]",False,0.7142857142857143
Account_2,OOP_prepared,"[84,  85,  2,  3,  4,  5,  6,  7,  86,  2,  3,  4,  5,  6,  7,  87,  2,  3,  4,  5,  6,  7,  89,  43,  44,  45,  46,  90,  43,  44,  45,  46,  91,  43,  44,  45,  46,  94,  73,  74,  76,  77,  78,  95,  69,  70,  71,  96,  73,  74,  75,  97,  69,  70,  71,  98,  73,  74,  76,  77,  78,  101,  32,  33,  69,  70,  71,  102,  32,  33,  73,  74,  76,  77,  78,  103,  32,  33,  69,  70,  71]","[85, 3, 4, 5, 6, 7, 86, 3, 4, 5, 6, 7, 87, 3, 4, 5, 6, 7, 89, 44, 45, 46, 90, 44, 45, 46, 91, 44, 45, 46, 94, 74, 77, 78, 95, 70, 71, 96, 74, 75, 78, 97, 70, 71, 98, 74, 77, 78, 101, 33, 70, 71, 102, 33, 74, 77, 78, 103, 33, 70, 71]",False,0.1661290322580645
Account_2,OOP_prepared,"[84,  86,  3,  4,  5,  6,  7,  87,  3,  4,  5,  6,  7,  88,  3,  4,  5,  6,  7,  90,  44,  45,  46,  91,  44,  45,  46,  92,  44,  45,  46,  95,  96,  74,  76,  77,  78,  97,  33,  70,  71,  100,  74,  76,  77,  78,  101,  70,  71]","[86, 3, 4, 5, 6, 7, 87, 3, 4, 5, 6, 7, 88, 3, 4, 5, 6, 7, 90, 44, 45, 46, 91, 44, 45, 46, 92, 44, 45, 46, 95, 96, 74, 77, 78, 97, 33, 70, 71, 100, 74, 77, 78, 101, 70, 71]",False,0.1521197007481296
Account_2,OOP_prepared,"[84,  86,  3,  4,  5,  6,  7,  87,  3,  4,  5,  6,  7,  88,  3,  4,  5,  6,  7,  90,  44,  45,  46,  91,  44,  45,  46,  92,  44,  45,  46,  95,  33,  70,  71,  96,  74,  76,  77,  78,  97,  33,  70,  71,  100,  101,  74,  76,  77,  78,  102,  33,  70,  71,  105,  70,  71,  106,  74,  76,  77,  78]","[86, 3, 4, 5, 6, 7, 87, 3, 4, 5, 6, 7, 88, 3, 4, 5, 6, 7, 90, 44, 45, 46, 91, 44, 45, 46, 92, 44, 45, 46, 95, 33, 70, 71, 96, 74, 77, 78, 97, 33, 70, 71, 100, 101, 74, 77, 78, 102, 33, 70, 71, 105, 70, 71, 106, 74, 77, 78]",False,0.175
Account,OOP_prepared,"[48,  49,  3,  4,  5,  50,  3,  4,  5,  51,  37,  38,  39,  42]","[49, 3, 4, 5, 50, 3, 4, 5, 51, 37, 38, 39, 42]",False,0.8425925925925926
Account,OOP_prepared,"[49,  51,  3,  4,  5,  52,  3,  4,  5,  53,  3,  4,  5,  56,  26,  27,  57,  26,  27,  58,  26,  27,  61,  37,  38,  39,  42,  62,  37,  38,  39,  42,  64,  30,  31,  34,  65,  30,  31,  34,  66,  30,  31,  34]","[51, 3, 4, 5, 52, 3, 4, 5, 53, 3, 4, 5, 56, 26, 27, 57, 26, 27, 58, 26, 27, 61, 37, 38, 39, 42, 62, 37, 38, 39, 42, 64, 30, 31, 34, 65, 30, 33, 34, 66, 30, 31, 34]",False,0.3333333333333333
Account,OOP_prepared,"[48,  49,  3,  4,  5,  50,  3,  4,  5,  51,  3,  4,  5,  54,  30,  33,  34,  55,  30,  33,  34,  56,  30,  31,  34]","[49, 3, 4, 5, 50, 3, 4, 5, 51, 3, 4, 5, 54, 30, 33, 34, 55, 30, 33, 34, 56, 30, 31, 34]",False,0.2388059701492537
Account,OOP_prepared,"[47,  49,  3,  4,  5,  50,  3,  4,  5,  51,  3,  4,  5,  54,  26,  27,  55,  26,  27,  56,  26,  27,  59,  30,  31,  34,  60,  30,  31,  34,  61,  30,  31,  34,  64,  30,  32,  33,  34]","[49, 3, 4, 5, 50, 3, 4, 5, 51, 3, 4, 5, 54, 26, 27, 55, 26, 27, 56, 26, 27, 59, 30, 31, 34, 60, 30, 31, 34, 61, 30, 31, 34, 64, 30, 33, 34]",False,0.1826625386996904
Account,OOP_prepared,"[49,  51,  3,  4,  5,  52,  3,  4,  5,  55,  26,  27,  58,  30,  31,  34,  61,  30,  32,  33,  34,  64,  37,  38,  39,  42,  67,  37,  40,  41,  42,  70,  11,  71,  8,  74,  17,  75,  14,  78,  23,  79,  20]","[51, 3, 4, 5, 52, 3, 4, 5, 55, 26, 27, 58, 30, 31, 34, 61, 30, 33, 34, 64, 37, 38, 39, 42, 67, 37, 41, 42, 70, 11, 71, 8, 74, 17, 75, 14, 78, 23, 79, 20]",False,0.3760445682451253
AnimalAbstract,OOP_prepared,"[44,  45,  9,  10,  46,  22,  23,  47,  19]","[45, 10, 46, 23, 47, 19]",False,0.7121212121212122
AnimalAbstract,OOP_prepared,"[45,  46,  22,  23,  47,  9,  10,  48,  31,  32]","[46, 23, 47, 10, 48, 32]",False,0.6619718309859155
AnimalAbstract,OOP_prepared,"[44,  45,  22,  23,  46,  22,  23,  47,  32]","[45, 23, 46, 23, 47, 32]",False,0.7014925373134329
AnimalAbstract,OOP_prepared,"[44,  45,  46,  47,  48]","[45, 46, 47, 48]",False,0.7948717948717948
AnimalAbstract,OOP_prepared,"[44,  45,  35,  36,  46,  22,  23,  47,  32,  48,  49,  50,  51]","[45, 36, 46, 23, 47, 32, 48, 49, 50, 51]",False,0.7669902912621359
Animals,OOP_prepared,"[42,  43,  18,  19,  10,  11,  2,  3,  44,  24,  25,  13,  14,  5,  6,  45,  21,  22]","[43, 19, 11, 3, 44, 25, 14, 6, 45, 22]",False,0.6147540983606558
Animals,OOP_prepared,"[42,  43,  29,  30,  10,  11,  2,  3,  44,  38,  39,  13,  14,  5,  6,  45,  32,  33]","[43, 30, 11, 3, 44, 39, 14, 6, 45, 33]",False,0.6147540983606558
Animals,OOP_prepared,"[42,  43,  29,  30,  10,  11,  2,  3,  44,  29,  30,  10,  11,  2,  3,  45,  36]","[43, 30, 11, 3, 44, 30, 11, 3, 45, 36]",False,0.6410256410256411
Animals,OOP_prepared,"[42,  43,  18,  19,  10,  11,  2,  3,  44,  24,  25,  13,  14,  5,  6,  45,  10,  11,  2,  3,  46,  13,  14,  5,  6]","[43, 19, 11, 3, 44, 25, 14, 6, 45, 11, 3, 46, 14, 6]",False,0.2455089820359281
Animals,OOP_prepared,"[42,  43,  2,  3,  44,  5,  6,  45,  2,  3,  46,  5,  6]","[43, 3, 44, 6, 45, 3, 46, 6]",False,0.6626506024096386
Animal,OOP_prepared,"[48,  49,  11,  3,  50,  11,  3,  51,  20]","[49, 11, 3, 50, 11, 3, 51, 20]",False,0.8309859154929577
Animal,OOP_prepared,"[48,  49,  11,  3,  50,  25,  11,  3,  51,  20]","[49, 11, 3, 50, 25, 11, 3, 51, 20]",False,0.8375
Animal,OOP_prepared,"[48,  49,  24,  25,  10,  11,  2,  3,  50,  24,  25,  10,  11,  2,  3,  51,  34]","[49, 25, 11, 3, 50, 25, 11, 3, 51, 34]",False,0.6410256410256411
Animal,OOP_prepared,"[48,  49,  38,  39,  2,  3,  50,  51,  44,  45]","[49, 39, 3, 50, 51, 45]",False,0.6521739130434783
Animal,OOP_prepared,"[48,  49,  2,  3,  50,  51,  5,  6,  52,  53]","[49, 3, 50, 51, 6, 52, 53]",False,0.7285714285714285
Ball,OOP_prepared,"[53,  54,  3,  4,  5,  6,  7,  55,  40,  41,  56,  50]","[54, 3, 4, 5, 6, 7, 55, 40, 41, 56, 50]",False,0.8369565217391305
