Filename,Category,Predicted,Actual,Matched,Distance
Account_2,OOP_prepared,"[84, 85, 3, 4, 5, 6, 7, 43, 44, 45, 46, 86, 73, 74, 76, 77, 78]","[85, 3, 4, 5, 6, 7, 44, 45, 46, 86, 74, 77, 78]",False,0.8532110091743119
Account_2,OOP_prepared,"[84, 85, 2, 3, 4, 5, 6, 7, 43, 44, 45, 46, 86, 73, 74, 75]","[85, 3, 4, 5, 6, 7, 44, 45, 46, 86, 74, 75, 78]",False,0.8173076923076923
Account_2,OOP_prepared,"[84, 85, 2, 3, 4, 5, 6, 7, 86, 2, 3, 4, 5, 6, 7, 87, 2, 3, 4, 5, 6, 7, 89, 43, 44, 45, 46, 90, 43, 44, 45, 46, 91, 43, 44, 45, 46, 94, 73, 74, 76, 77, 78, 95, 69, 70, 71, 96, 73, 74, 75, 97, 69, 70, 71, 98, 73, 74, 76, 77, 78, 101, 32, 33, 69, 70, 71, 102, 32, 33, 73, 74, 76, 77, 78, 103, 32, 33, 69, 70, 71]","[85, 3, 4, 5, 6, 7, 86, 3, 4, 5, 6, 7, 87, 3, 4, 5, 6, 7, 89, 44, 45, 46, 90, 44, 45, 46, 91, 44, 45, 46, 94, 74, 77, 78, 95, 70, 71, 96, 74, 75, 78, 97, 70, 71, 98, 74, 77, 78, 101, 33, 70, 71, 102, 33, 74, 77, 78, 103, 33, 70, 71]",False,0.05740740740740741
Account_2,OOP_prepared,"[84, 86, 3, 4, 5, 6, 7, 87, 3, 4, 5, 6, 7, 88, 3, 4, 5, 6, 7, 90, 44, 45, 46, 91, 44, 45, 46, 92, 44, 45, 46, 95, 96, 74, 76, 77, 78, 97, 33, 70, 71, 100, 74, 76, 77, 78, 101, 70, 71]","[86, 3, 4, 5, 6, 7, 87, 3, 4, 5, 6, 7, 88, 3, 4, 5, 6, 7, 90, 44, 45, 46, 91, 44, 45, 46, 92, 44, 45, 46, 95, 96, 74, 77, 78, 97, 33, 70, 71, 100, 74, 77, 78, 101, 70, 71]",False,0.7988668555240793
Account_2,OOP_prepared,"[84, 86, 3, 4, 5, 6, 7, 87, 3, 4, 5, 6, 7, 88, 3, 4, 5, 6, 7, 90, 44, 45, 46, 91, 44, 45, 46, 92, 44, 45, 46, 95, 33, 70, 71, 96, 74, 76, 77, 78, 97, 33, 70, 71, 100, 101, 74, 76, 77, 78, 102, 33, 70, 71, 105, 70, 71, 106, 74, 76, 77, 78]","[86, 3, 4, 5, 6, 7, 87, 3, 4, 5, 6, 7, 88, 3, 4, 5, 6, 7, 90, 44, 45, 46, 91, 44, 45, 46, 92, 44, 45, 46, 95, 33, 70, 71, 96, 74, 77, 78, 97, 33, 70, 71, 100, 101, 74, 77, 78, 102, 33, 70, 71, 105, 70, 71, 106, 74, 77, 78]",False,0.8148148148148148
Account,OOP_prepared,"[48, 49, 3, 4, 5, 50, 3, 4, 5, 51, 37, 38, 39, 42]","[49, 3, 4, 5, 50, 3, 4, 5, 51, 37, 38, 39, 42]",False,0.9578947368421052
Account,OOP_prepared,"[49, 51, 3, 4, 5, 52, 3, 4, 5, 53, 3, 4, 5, 56, 26, 27, 57, 26, 27, 58, 26, 27, 61, 37, 38, 39, 42, 62, 37, 38, 39, 42, 64, 30, 31, 34, 65, 30, 31, 34, 66, 30, 31, 34]","[51, 3, 4, 5, 52, 3, 4, 5, 53, 3, 4, 5, 56, 26, 27, 57, 26, 27, 58, 26, 27, 61, 37, 38, 39, 42, 62, 37, 38, 39, 42, 64, 30, 31, 34, 65, 30, 33, 34, 66, 30, 31, 34]",False,0.9848024316109423
Account,OOP_prepared,"[48, 49, 3, 4, 5, 50, 3, 4, 5, 51, 3, 4, 5, 54, 30, 33, 34, 55, 30, 33, 34, 56, 30, 31, 34]","[49, 3, 4, 5, 50, 3, 4, 5, 51, 3, 4, 5, 54, 30, 33, 34, 55, 30, 33, 34, 56, 30, 31, 34]",False,0.9774011299435028
Account,OOP_prepared,"[47, 49, 3, 4, 5, 50, 3, 4, 5, 51, 3, 4, 5, 54, 26, 27, 55, 26, 27, 56, 26, 27, 59, 30, 31, 34, 60, 30, 31, 34, 61, 30, 31, 34, 64, 30, 32, 33, 34]","[49, 3, 4, 5, 50, 3, 4, 5, 51, 3, 4, 5, 54, 26, 27, 55, 26, 27, 56, 26, 27, 59, 30, 31, 34, 60, 30, 31, 34, 61, 30, 31, 34, 64, 30, 33, 34]",False,0.9719298245614035
Account,OOP_prepared,"[49, 51, 3, 4, 5, 52, 3, 4, 5, 55, 26, 27, 58, 30, 31, 34, 61, 30, 32, 33, 34, 64, 37, 38, 39, 42, 67, 37, 40, 41, 42, 70, 11, 71, 8, 74, 17, 75, 14, 78, 23, 79, 20]","[51, 3, 4, 5, 52, 3, 4, 5, 55, 26, 27, 58, 30, 31, 34, 61, 30, 33, 34, 64, 37, 38, 39, 42, 67, 37, 41, 42, 70, 11, 71, 8, 74, 17, 75, 14, 78, 23, 79, 20]",False,0.9621451104100947
AnimalAbstract,OOP_prepared,"[44, 45, 9, 10, 46, 22, 23, 47, 19]","[45, 10, 46, 23, 47, 19]",False,0.8103448275862069
AnimalAbstract,OOP_prepared,"[45, 46, 22, 23, 47, 9, 10, 48, 31, 32]","[46, 23, 47, 10, 48, 32]",False,0.7580645161290323
AnimalAbstract,OOP_prepared,"[44, 45, 22, 23, 46, 22, 23, 47, 32]","[45, 23, 46, 23, 47, 32]",False,0.7966101694915254
AnimalAbstract,OOP_prepared,"[44, 45, 46, 47, 48]","[45, 46, 47, 48]",False,0.8857142857142857
AnimalAbstract,OOP_prepared,"[44, 45, 35, 36, 46, 22, 23, 47, 32, 48, 49, 50, 51]","[45, 36, 46, 23, 47, 32, 48, 49, 50, 51]",False,0.8681318681318682
Animals,OOP_prepared,"[42, 43, 18, 19, 10, 11, 2, 3, 44, 24, 25, 13, 14, 5, 6, 45, 21, 22]","[43, 19, 11, 3, 44, 25, 14, 6, 45, 22]",False,0.7142857142857143
Animals,OOP_prepared,"[42, 43, 29, 30, 10, 11, 2, 3, 44, 38, 39, 13, 14, 5, 6, 45, 32, 33]","[43, 30, 11, 3, 44, 39, 14, 6, 45, 33]",False,0.7142857142857143
Animals,OOP_prepared,"[42, 43, 29, 30, 10, 11, 2, 3, 44, 29, 30, 10, 11, 2, 3, 45, 36]","[43, 30, 11, 3, 44, 30, 11, 3, 45, 36]",False,0.7425742574257426
Animals,OOP_prepared,"[42, 43, 18, 19, 10, 11, 2, 3, 44, 24, 25, 13, 14, 5, 6, 45, 10, 11, 2, 3, 46, 13, 14, 5, 6]","[43, 19, 11, 3, 44, 25, 14, 6, 45, 11, 3, 46, 14, 6]",False,0.7202797202797203
Animals,OOP_prepared,"[42, 43, 2, 3, 44, 5, 6, 45, 2, 3, 46, 5, 6]","[43, 3, 44, 6, 45, 3, 46, 6]",False,0.7746478873239436
Animal,OOP_prepared,"[48, 49, 11, 3, 50, 11, 3, 51, 20]","[49, 11, 3, 50, 11, 3, 51, 20]",False,0.9365079365079365
Animal,OOP_prepared,"[48, 49, 11, 3, 50, 25, 11, 3, 51, 20]","[49, 11, 3, 50, 25, 11, 3, 51, 20]",False,0.9436619718309859
Animal,OOP_prepared,"[48, 49, 24, 25, 10, 11, 2, 3, 50, 24, 25, 10, 11, 2, 3, 51, 34]","[49, 25, 11, 3, 50, 25, 11, 3, 51, 34]",False,0.7425742574257426
Animal,OOP_prepared,"[48, 49, 38, 39, 2, 3, 50, 51, 44, 45]","[49, 39, 3, 50, 51, 45]",False,0.75
Animal,OOP_prepared,"[48, 49, 2, 3, 50, 51, 5, 6, 52, 53]","[49, 3, 50, 51, 6, 52, 53]",False,0.8360655737704918
Ball,OOP_prepared,"[53, 54, 3, 4, 5, 6, 7, 55, 40, 41, 56, 50]","[54, 3, 4, 5, 6, 7, 55, 40, 41, 56, 50]",False,0.9506172839506173
Ball,OOP_prepared,"[52, 53, 3, 4, 5, 6, 7, 54, 40, 41, 55, 50, 56, 44, 57, 47, 58, 40, 41]","[53, 3, 4, 5, 6, 7, 54, 40, 41, 55, 50, 56, 44, 57, 47, 58, 40, 41]",False,0.9708029197080292
Ball,OOP_prepared,"[53, 54, 3, 4, 5, 6, 7, 55, 44, 56, 40, 41, 57, 47, 58, 40, 41, 59, 50]","[54, 3, 4, 5, 6, 7, 55, 44, 56, 40, 41, 57, 47, 58, 40, 41, 59, 50]",False,0.9708029197080292
Ball,OOP_prepared,[50],"[54, 3, 4, 5, 6, 7, 55, 56, 40, 41, 55, 56, 40, 41, 55, 56, 40, 41, 55, 57, 44, 58, 40, 41, 59, 47, 60, 50]",False,0.06363636363636363
Ball,OOP_prepared,"[53, 55, 3, 4, 5, 6, 7, 56, 50, 57, 40, 41, 58, 50]","[55, 3, 4, 5, 6, 7, 56, 50, 57, 40, 41, 58, 50]",False,0.9587628865979382
Book1_,OOP_prepared,"[70, 71, 2, 3, 4, 5, 6, 36, 37, 38, 39, 40, 72, 66, 67, 31, 32]","[71, 3, 4, 5, 6, 37, 38, 39, 40, 72, 67, 32]",False,0.8207547169811321
Book1_,OOP_prepared,"[70, 71, 3, 4, 5, 6, 72, 37, 38, 39, 40, 73, 67]","[71, 3, 4, 5, 6, 72, 37, 38, 39, 40, 73, 67, 32]",False,0.9157894736842105
Book1_,OOP_prepared,"[70, 71, 3, 4, 5, 6, 72, 37, 38, 39, 40, 73, 64, 74, 67]","[71, 3, 4, 5, 6, 72, 37, 38, 39, 40, 73, 64, 74, 67, 32]",False,0.9279279279279279
Book1_,OOP_prepared,"[70, 71, 3, 4, 5, 6, 72, 37, 38, 39, 40, 73, 46, 74, 58, 75, 67]","[71, 3, 4, 5, 6, 72, 37, 38, 39, 40, 73, 46, 74, 58, 75, 67, 32]",False,0.937007874015748
Book1_,OOP_prepared,"[70, 71, 3, 4, 5, 6, 72, 37, 38, 39, 40, 73, 64, 74, 58, 75, 67]","[71, 3, 4, 5, 6, 72, 37, 38, 39, 40, 73, 64, 74, 58, 75, 67, 32]",False,0.937007874015748
Book_2,OOP_prepared,"[74, 75, 36, 37, 38, 39, 40, 2, 3, 4, 5, 6, 2, 3, 4, 5, 6, 76, 66, 67, 10, 11, 10, 11]","[75, 3, 4, 5, 6, 3, 4, 5, 6, 37, 38, 39, 40, 76, 67, 11, 67, 11, 67]",False,0.5490196078431373
Book_2,OOP_prepared,"[74, 75, 3, 4, 5, 6, 76, 37, 38, 39, 40, 77, 70, 32, 71, 78, 67, 11]","[75, 3, 4, 5, 6, 76, 37, 38, 39, 40, 77, 70, 32, 70, 71, 78, 67, 11, 67]",False,0.9136690647482014
Book_2,OOP_prepared,"[74, 75, 3, 4, 5, 6, 76, 37, 38, 39, 40, 77, 58, 78, 64, 79, 70, 32, 71, 80, 67, 11]","[75, 3, 4, 5, 6, 76, 37, 38, 39, 40, 77, 58, 78, 64, 79, 70, 32, 70, 71, 80, 67, 11, 67]",False,0.9298245614035088
Book_2,OOP_prepared,"[74, 75, 3, 4, 5, 6, 76, 37, 38, 39, 40, 77, 46, 78, 70, 71, 32, 79, 67, 11]","[75, 3, 4, 5, 6, 76, 37, 38, 39, 40, 77, 46, 78, 70, 32, 70, 71, 79, 67, 11, 67]",False,0.896774193548387
Book_2,OOP_prepared,"[74, 75, 3, 4, 5, 6, 76, 3, 4, 5, 6, 77, 37, 38, 39, 40, 78, 70, 71, 32, 32, 79, 67, 11, 11]","[75, 3, 4, 5, 6, 76, 3, 4, 5, 6, 77, 37, 38, 39, 40, 78, 70, 32, 70, 32, 70, 71, 79, 67, 11, 67, 11, 67]",False,0.882051282051282
Book_3,OOP_prepared,"[67, 68, 3, 4, 69, 24, 25, 26, 27, 28, 70, 52, 71, 64, 19]","[68, 3, 4, 69, 24, 25, 26, 27, 28, 70, 52, 71, 64, 19]",False,0.963963963963964
Book_3,OOP_prepared,"[67, 68, 3, 4, 69, 24, 25, 26, 27, 28, 70, 64, 71, 61, 7]","[68, 3, 4, 69, 24, 25, 26, 27, 28, 70, 64, 19, 71, 61, 7]",False,0.9292035398230089
Book_3,OOP_prepared,"[67, 68, 2, 3, 4, 69, 23, 24, 25, 26, 27, 28, 70, 58, 71, 52, 72, 63, 64, 18, 19, 73, 55]","[68, 3, 4, 69, 24, 25, 26, 27, 28, 70, 58, 71, 52, 72, 64, 19, 73, 55]",False,0.879746835443038
Book_3,OOP_prepared,"[67, 68, 2, 3, 4, 69, 23, 24, 25, 26, 27, 28, 70, 40, 71, 34, 72, 63, 64, 73, 31]","[68, 3, 4, 69, 24, 25, 26, 27, 28, 70, 40, 71, 34, 72, 64, 19, 73, 31]",False,0.9066666666666666
Book_3,OOP_prepared,"[67, 68, 3, 4, 69, 24, 25, 26, 27, 28, 70, 58, 71, 52, 72, 40, 73, 64, 74, 49]","[68, 3, 4, 69, 24, 25, 26, 27, 28, 70, 58, 71, 52, 72, 40, 73, 64, 19, 74, 49]",False,0.9483870967741935
Circle,OOP_prepared,"[24, 25, 5, 26, 16, 22]","[25, 5, 26, 16]",False,0.7837837837837838
Circle,OOP_prepared,"[25, 26, 5, 27, 16, 19, 22]","[26, 5, 27, 16, 19]",False,0.8222222222222222
Circle,OOP_prepared,"[25, 26, 5, 27, 13, 28, 16, 19]","[26, 5, 27, 13, 28, 16, 19]",False,0.9298245614035088
Circle,OOP_prepared,"[25, 26, 5, 27, 16, 19, 28, 13, 29, 16, 19]","[26, 5, 27, 16, 19, 28, 13, 29, 16, 19]",False,0.9506172839506173
Circle,OOP_prepared,"[25, 26, 5, 27, 16, 19, 28, 13, 29, 16, 19]","[26, 5, 27, 16, 19, 28, 13, 29, 16, 19]",False,0.9506172839506173
Container,OOP_prepared,"[130, 131, 4, 5, 6, 7, 11, 12, 13, 132, 72, 73, 74, 75, 76, 133, 134, 57, 58, 59, 135, 120, 121, 136, 67, 68, 133, 134, 57, 58, 59, 135, 120, 121, 136, 67, 68, 133, 134, 57, 58, 59, 135, 120, 121, 136, 67, 68, 133, 134, 57, 58, 59, 135, 120, 121, 136, 67, 68, 133, 134, 57, 58, 59, 135, 120, 121, 136, 67, 68, 133, 134, 57, 58, 59, 135, 120, 121, 136, 67, 68, 133, 134, 57, 58, 59, 135, 120, 121, 136, 67, 68, 133, 134, 57, 58, 59, 135, 120, 121, 136, 67, 68, 133, 134, 57, 58, 59, 135, 120, 121, 136, 67, 68, 133, 134, 57, 58, 59, 135, 120, 121, 136, 67, 68]","[131, 5, 6, 7, 8, 11, 12, 13, 132, 73, 74, 75, 76, 133, 134, 58, 59, 135, 121, 18, 30, 18, 30, 124, 136, 68, 133, 134, 58, 59, 135, 121, 18, 30, 18, 30, 124, 136, 68, 133, 134, 58, 59, 135, 121, 18, 30, 18, 30, 122, 62, 123, 136, 68, 133, 134, 58, 59, 135, 121, 18, 30, 18, 30, 124, 136, 68, 133, 134, 58, 59, 135, 121, 18, 30, 18, 30, 124, 136, 68, 133, 134, 58, 59, 135, 121, 18, 30, 18, 30, 124, 136, 68, 133, 134, 58, 59, 135, 121, 18, 30, 18, 30, 124, 136, 68, 133, 134, 58, 59, 135, 121, 18, 30, 18, 30, 124, 136, 68, 133, 134, 58, 59, 135, 121, 18, 30, 122, 62, 123, 136, 68, 133, 134, 58, 59, 135, 121, 18, 30, 18, 30, 124, 136, 68, 133]",False,0.2734829592684954
Container,OOP_prepared,"[131, 132, 4, 5, 6, 7, 11, 12, 13, 133, 72, 73, 74, 75, 76, 134, 135, 57, 58, 59, 136, 120, 121, 137, 67, 68, 134, 135, 57, 58, 59, 136, 120, 121, 137, 67, 68, 134, 135, 57, 58, 59, 136, 120, 121, 137, 67, 68, 134, 135, 57, 58, 59, 136, 120, 121, 137, 67, 68, 134, 135, 57, 58, 59, 136, 120, 121, 137, 67, 68, 134, 135, 57, 58, 59, 136, 120, 121, 137, 67, 68, 134, 135, 57, 58, 59, 136, 120, 121, 137, 67, 68, 134, 135, 57, 58, 59, 136, 120, 121, 137, 67, 68, 134, 135, 57, 58, 59, 136, 120, 121, 137, 67, 68, 134, 135, 57, 58, 59, 136, 120, 121, 137, 67, 68]","[132, 5, 6, 7, 8, 11, 12, 13, 133, 73, 74, 75, 76, 134, 135, 58, 59, 136, 121, 18, 30, 18, 30, 124, 137, 68, 134, 135, 58, 59, 136, 121, 18, 30, 18, 30, 124, 137, 68, 134, 135, 58, 59, 136, 121, 18, 30, 18, 30, 122, 62, 123, 137, 68, 134, 135, 58, 59, 136, 121, 18, 30, 18, 30, 124, 137, 68, 134, 135, 58, 59, 136, 121, 18, 30, 18, 30, 124, 137, 68, 134, 135, 58, 59, 136, 121, 18, 30, 18, 30, 124, 137, 68, 134, 135, 58, 59, 136, 121, 18, 30, 122, 62, 123, 137, 68, 134, 135, 58, 59, 136, 121, 18, 30, 18, 30, 124, 137, 68, 134, 135, 58, 59, 136, 121, 18, 30, 18, 30, 124, 137, 68, 134, 135, 58, 59, 136, 121, 18, 30, 18, 30, 124, 137, 68, 134]",False,0.2876142975893599
Container,OOP_prepared,"[130, 131, 5, 6, 7, 11, 12, 13, 132, 73, 74, 75, 76, 133, 134, 58, 59, 135, 121, 122, 62, 123, 136, 68, 134, 58, 59, 135, 121, 124, 136, 68, 134, 58, 59, 135, 121, 124, 136, 68, 134, 58, 59, 135, 121, 124, 136, 68, 134, 58, 59, 135, 121, 124, 136, 68, 134, 58, 59, 135, 121, 124, 136, 68, 134, 58, 59, 135, 121, 124, 136, 68, 134, 58, 59, 135, 121, 124, 136, 68, 134, 58, 59, 135, 121, 124, 136, 68, 134, 58, 59, 135, 121, 124, 136, 68]","[131, 5, 6, 7, 8, 11, 12, 13, 132, 73, 74, 75, 76, 133, 134, 58, 59, 135, 121, 18, 30, 18, 30, 124, 136, 68, 133, 134, 58, 59, 135, 121, 18, 30, 18, 30, 124, 136, 68, 133, 134, 58, 59, 135, 121, 18, 30, 18, 30, 124, 136, 68, 133, 134, 58, 59, 135, 121, 18, 30, 18, 30, 124, 136, 68, 133, 134, 58, 59, 135, 121, 18, 30, 18, 30, 124, 136, 68, 133, 134, 58, 59, 135, 121, 18, 30, 18, 30, 124, 136, 68, 133, 134, 58, 59, 135, 121, 18, 30, 18, 30, 124, 136, 68, 133, 134, 58, 59, 135, 121, 18, 30, 18, 30, 124, 136, 68, 133, 134, 58, 59, 135, 121, 18, 30, 18, 30, 124, 136, 68, 133, 134, 58, 59, 135, 121, 18, 30, 18, 30, 124, 136, 68, 133]",False,0.14579439252336449
Container,OOP_prepared,"[136, 67, 68]","[131, 5, 6, 7, 8, 11, 12, 13, 132, 73, 74, 75, 76, 133, 134, 58, 59, 135, 121, 18, 30, 18, 30, 124, 136, 68, 133, 134, 58, 59, 135, 121, 18, 30, 122, 62, 123, 136, 68, 133, 134, 58, 59, 135, 121, 18, 30, 18, 30, 124, 136, 68, 133, 134, 58, 59, 135, 121, 18, 30, 18, 30, 124, 136, 68, 133, 134, 58, 59, 135, 121, 18, 30, 18, 30, 124, 136, 68, 133, 134, 58, 59, 135, 121, 18, 30, 18, 30, 122, 62, 123, 136, 68, 133, 134, 58, 59, 135, 121, 18, 30, 18, 30, 124, 136, 68, 133, 134, 58, 59, 135, 121, 18, 30, 18, 30, 124, 136, 68, 133, 134, 58, 59, 135, 121, 18, 30, 18, 30, 124, 136, 68, 133, 134, 58, 59, 135, 121, 18, 30, 122, 62, 123, 136, 68, 133]",False,0.0364741641337386
Container,OOP_prepared,"[130, 131, 5, 6, 7, 11, 12, 13, 132, 73, 74, 75, 76, 135, 136, 58, 59, 137, 121, 124, 140, 135, 136, 58, 59, 137, 121, 124, 140, 135, 136, 58, 59, 137, 121, 124, 140, 135, 136, 58, 59, 137, 121, 124, 140, 135, 136, 58, 59, 137, 121, 124, 140]","[131, 5, 6, 7, 8, 11, 12, 13, 132, 73, 74, 75, 76, 135, 136, 58, 59, 137, 121, 18, 30, 18, 30, 124, 140, 68, 135, 136, 58, 59, 137, 121, 18, 30, 18, 30, 122, 62, 123, 138, 68, 135, 136, 58, 59, 137, 121, 18, 30, 18, 30, 124, 140, 68, 135, 136, 58, 59, 137, 121, 18, 30, 18, 30, 124, 140, 68, 135, 136, 58, 59, 137, 121, 18, 30, 122, 62, 123, 138, 68, 135]",False,0.21476510067114093
Cylinder,OOP_prepared,"[51, 52, 32, 33, 4, 5, 6, 34, 53, 9, 10, 37, 38, 24, 25, 44, 45, 24, 25]","[52, 33, 5, 6, 34, 53, 10, 38, 25, 45, 25]",False,0.7345132743362832
Cylinder,OOP_prepared,"[52, 53, 5, 6, 54, 14, 55, 28, 56, 25, 57, 33, 5, 6, 34, 58, 10, 38, 25, 45, 25]","[53, 5, 6, 54, 14, 55, 28, 56, 25, 57, 33, 5, 6, 34, 58, 10, 38, 25, 45, 25]",False,0.9741935483870968
Cylinder,OOP_prepared,"[51, 52, 32, 33, 4, 5, 6, 34, 53, 47, 48, 27, 28, 54, 44, 24, 25, 45]","[52, 33, 5, 6, 34, 53, 48, 28, 54, 45, 25]",False,0.7454545454545455
Cylinder,OOP_prepared,"[50, 51, 32, 33, 4, 5, 6, 34, 52, 41, 42, 53, 13, 14, 54, 47, 48, 27, 28, 55, 44, 45, 24, 25]","[51, 33, 5, 6, 34, 52, 42, 53, 14, 54, 48, 28, 55, 45, 25]",False,0.7666666666666667
Cylinder,OOP_prepared,"[52, 53, 32, 33, 4, 5, 6, 34, 54, 9, 10, 37, 38, 24, 25, 44, 45, 24, 25]","[53, 33, 5, 6, 34, 54, 10, 38, 25, 45, 25]",False,0.7345132743362832
Date,OOP_prepared,"[44, 45, 5, 6, 7, 46, 33, 34, 35, 40, 41]","[45, 5, 6, 7, 46, 33, 34, 35, 40, 41]",False,0.948051948051948
Date,OOP_prepared,"[50, 51, 47, 5, 6, 7, 48, 33, 34, 35, 40, 41]","[51, 47, 5, 6, 7, 48, 33, 34, 35, 40, 41]",False,0.9529411764705882
Date,OOP_prepared,"[43, 44, 5, 6, 7, 45, 33, 34, 35, 36, 37, 38]","[44, 5, 6, 7, 45, 33, 34, 35, 36, 37, 38]",False,0.9529411764705882
Date,OOP_prepared,"[44, 45, 5, 6, 7, 46, 28, 29, 30, 47, 33, 34, 35, 40, 41]","[45, 5, 6, 7, 46, 28, 29, 30, 47, 33, 34, 35, 40, 41]",False,0.963302752293578
