HumanEval_ID,fraction_matched,average_similarity
HumanEval/0,0.0,0.01837016998606254
HumanEval/1,0.0,0.18058581213752628
HumanEval/10,0.6,0.8974517008415314
HumanEval/100,0.0,0.32788710907704044
HumanEval/101,0.16666666666666666,0.3177281946031564
HumanEval/102,0.875,0.9510869565217391
HumanEval/103,0.25,0.7221798777844304
HumanEval/104,0.0,0.8790067859587178
HumanEval/105,0.0,0.5753364087620427
HumanEval/106,0.0,0.8159915844574047
HumanEval/107,0.0,0.4926895839629275
HumanEval/108,0.0,0.4537392982081556
HumanEval/109,0.2,0.678214760457673
HumanEval/11,0.0,0.8551017117054852
HumanEval/110,0.0,0.8081720914520225
HumanEval/111,0.0,0.7627199583962966
HumanEval/112,1.0,1.0
HumanEval/113,0.0,0.934439735897563
HumanEval/114,0.0,0.8160529417803407
HumanEval/115,0.0,0.6389727328102046
HumanEval/116,0.42857142857142855,0.5983750357736766
HumanEval/117,0.14285714285714285,0.6005083498012211
HumanEval/118,0.38461538461538464,0.8886092415605463
HumanEval/119,0.0,0.4892972890416401
HumanEval/12,0.6666666666666666,0.9386973180076629
HumanEval/120,0.9090909090909091,0.9865319865319865
HumanEval/121,0.2857142857142857,0.5035749909891786
HumanEval/122,0.4,0.5621052631578947
HumanEval/123,0.0,0.43488064750960237
HumanEval/124,0.3125,0.9116495072885317
HumanEval/125,0.375,0.8686925647451963
HumanEval/126,0.07692307692307693,0.8560788416055234
HumanEval/127,0.0,0.8679620054564987
HumanEval/128,1.0,1.0
HumanEval/129,0.0,0.4105205569968551
HumanEval/13,1.0,1.0
HumanEval/130,0.1,0.8358110269726916
HumanEval/131,0.0,0.8919564224239058
HumanEval/132,0.07692307692307693,0.6222349807447749
HumanEval/133,0.0,0.9411907288612058
HumanEval/134,0.9,0.9652173913043478
HumanEval/135,0.8,0.876923076923077
HumanEval/136,0.5,0.9259259259259259
HumanEval/137,0.5,0.9026796381635092
HumanEval/138,0.125,0.6818181818181818
HumanEval/139,0.0,0.943601430976229
HumanEval/14,0.3333333333333333,0.9427163249174688
HumanEval/140,0.0,0.22448600272468888
HumanEval/141,0.9615384615384616,0.9945054945054945
HumanEval/142,0.18181818181818182,0.7665651037977608
HumanEval/143,0.0,0.5646771172330729
HumanEval/144,1.0,1.0
HumanEval/145,0.0,0.2993944198922067
HumanEval/146,0.14285714285714285,0.7901771877991541
HumanEval/147,0.0,0.2679166666666667
HumanEval/148,0.36363636363636365,0.9387781558904554
HumanEval/149,0.14285714285714285,0.8975215135283633
HumanEval/15,1.0,1.0
HumanEval/150,0.25,0.6690056545454136
HumanEval/151,0.25,0.632996632996633
HumanEval/152,1.0,1.0
HumanEval/153,0.0,0.8321924689951786
HumanEval/154,0.0,0.5789545692386842
HumanEval/155,0.0,0.8535849377528485
HumanEval/156,0.0,0.4443779606217525
HumanEval/157,0.9090909090909091,0.9669421487603306
HumanEval/158,0.5,0.6508236352993724
HumanEval/159,0.6666666666666666,0.9298245614035089
HumanEval/16,1.0,1.0
HumanEval/160,0.0,0.8374352847471127
HumanEval/161,0.0,0.6159098088200458
HumanEval/162,1.0,1.0
HumanEval/163,0.5,0.8117216117216117
HumanEval/17,0.2,0.517312661498708
HumanEval/18,0.25,0.8937155346255966
HumanEval/19,0.0,0.614047297236414
HumanEval/2,1.0,1.0
HumanEval/20,0.0,0.040091094719142364
HumanEval/21,0.2,0.7766381766381766
HumanEval/22,0.3333333333333333,0.5061728395061728
HumanEval/23,1.0,1.0
HumanEval/24,0.6,0.6378301335907428
HumanEval/25,0.125,0.5776420959784831
HumanEval/26,0.3333333333333333,0.7996927803379417
HumanEval/27,1.0,1.0
HumanEval/28,1.0,1.0
HumanEval/29,0.5,0.6111111111111112
HumanEval/3,0.3333333333333333,0.8610157368607485
HumanEval/30,1.0,1.0
HumanEval/31,0.3333333333333333,0.6991492345289728
HumanEval/33,0.875,0.9333333333333333
HumanEval/34,1.0,1.0
HumanEval/35,0.0,0.9463469642115259
HumanEval/36,0.0,0.0735735584827386
HumanEval/37,0.0,0.9080310612440335
HumanEval/39,0.0,0.3362798217009481
HumanEval/4,0.3333333333333333,0.6228287841191067
HumanEval/40,0.0,0.6639319654095089
HumanEval/41,1.0,1.0
HumanEval/42,0.3333333333333333,0.5487179487179487
HumanEval/43,0.0,0.5686668761587582
HumanEval/44,1.0,1.0
HumanEval/45,1.0,1.0
HumanEval/46,0.0,0.8136261863945952
HumanEval/47,0.6,0.9407407407407409
HumanEval/48,0.42857142857142855,0.921066557870432
HumanEval/49,0.16666666666666666,0.6020731604999395
HumanEval/5,0.3333333333333333,0.9594687653713723
HumanEval/51,0.7142857142857143,0.7948010121923165
HumanEval/52,0.3333333333333333,0.9644444444444445
HumanEval/53,1.0,1.0
HumanEval/54,1.0,1.0
HumanEval/55,0.0,0.21364212899894866
HumanEval/56,0.0,0.5141695256858556
HumanEval/57,1.0,1.0
HumanEval/58,0.0,0.6623349168828762
HumanEval/59,0.0,0.19930373529145715
HumanEval/6,0.0,0.26561934989668595
HumanEval/60,1.0,1.0
HumanEval/61,0.0,0.805050505050505
HumanEval/62,0.6,0.8009569377990431
HumanEval/63,0.3333333333333333,0.639291465378422
HumanEval/64,1.0,1.0
HumanEval/65,0.4,0.9529790660225442
HumanEval/66,0.5,0.6927788422275968
HumanEval/67,0.0,0.7989068110925367
HumanEval/68,1.0,1.0
HumanEval/69,0.0,0.3012509846891685
HumanEval/7,0.25,0.4633716908759353
HumanEval/70,0.6666666666666666,0.9795581750468969
HumanEval/71,0.7777777777777778,0.8855701579715917
HumanEval/72,0.5,0.911149381298635
HumanEval/73,0.125,0.7866439795933545
HumanEval/74,0.1111111111111111,0.8888095947818478
HumanEval/75,0.0,0.9626168224299064
HumanEval/76,0.7,0.8594317090782134
HumanEval/77,1.0,1.0
HumanEval/78,0.07692307692307693,0.5607771504160625
HumanEval/79,0.75,0.9090909090909091
HumanEval/8,0.2,0.9574854426619133
HumanEval/80,0.625,0.9664686489785098
HumanEval/81,0.0,0.6917001545770719
HumanEval/82,0.5625,0.8990354281002656
HumanEval/83,0.0,0.8192307692307693
HumanEval/84,0.0,0.4987012987012987
HumanEval/85,0.75,0.9090909090909091
HumanEval/86,0.5714285714285714,0.7240015360983103
HumanEval/87,0.8333333333333334,0.9166666666666666
HumanEval/88,0.8571428571428571,0.9480519480519481
HumanEval/89,0.125,0.7860435651427036
HumanEval/9,0.25,0.9667241676729343
HumanEval/90,1.0,1.0
HumanEval/91,0.8333333333333334,0.956989247311828
HumanEval/92,0.7,0.9869565217391305
HumanEval/93,0.2,0.5611504653813614
HumanEval/94,0.0,0.18595435694269757
HumanEval/95,0.14285714285714285,0.9071171205525665
HumanEval/96,0.25,0.6170605104116884
HumanEval/97,1.0,1.0
HumanEval/98,0.2857142857142857,0.9248814290109832
HumanEval/99,0.8,0.9963636363636365
