Filename,Category,Predicted,Actual,Matched,Distance
Account_2,OOP_prepared,"[85, 2, 3, 4, 7, 44, 45, 46, 86, 74, 75, 77, 78]","[85, 3, 4, 5, 6, 7, 44, 45, 46, 86, 74, 77, 78]",False,0.8617021276595744
Account_2,OOP_prepared,"[3, 4, 5, 6, 7, 44, 45, 46, 74, 75]","[85, 3, 4, 5, 6, 7, 44, 45, 46, 86, 74, 75, 78]",False,0.8518518518518519
Account_2,OOP_prepared,"[85, 2, 3, 4, 5, 6, 7, 89, 43, 44, 45, 46, 90, 43, 44, 45, 46, 91, 43, 44, 45, 46, 94, 73, 74, 75, 95, 69, 70, 96, 73, 74, 75, 97, 69, 70, 98, 73, 74, 75, 101, 32, 33, 101, 69, 70, 102, 32, 33, 102, 73, 74, 75, 103, 32, 33, 103, 69, 70]","[85, 3, 4, 5, 6, 7, 86, 3, 4, 5, 6, 7, 87, 3, 4, 5, 6, 7, 89, 44, 45, 46, 90, 44, 45, 46, 91, 44, 45, 46, 94, 74, 77, 78, 95, 70, 71, 96, 74, 75, 78, 97, 70, 71, 98, 74, 77, 78, 101, 33, 70, 71, 102, 33, 74, 77, 78, 103, 33, 70, 71]",False,0.1006423982869379
Account_2,OOP_prepared,"[86, 3, 4, 5, 6, 7, 90, 44, 45, 46, 91, 44, 45, 46, 92, 44, 45, 46, 96, 74, 75, 97, 70, 71, 100, 74, 75, 101, 70, 71]","[86, 3, 4, 5, 6, 7, 87, 3, 4, 5, 6, 7, 88, 3, 4, 5, 6, 7, 90, 44, 45, 46, 91, 44, 45, 46, 92, 44, 45, 46, 95, 96, 74, 77, 78, 97, 33, 70, 71, 100, 74, 77, 78, 101, 70, 71]",False,0.578397212543554
Account_2,OOP_prepared,"[86, 2, 3, 4, 5, 6, 7, 87, 2, 3, 4, 5, 6, 7, 90, 43, 44, 45, 46, 91, 43, 44, 45, 46, 92, 43, 44, 45, 46, 95, 69, 70, 32, 33, 96, 73, 74, 75, 97, 69, 70, 32, 33, 101, 73, 74, 75, 102, 69, 70, 32, 33, 105, 69, 70, 106, 73, 74, 75]","[86, 3, 4, 5, 6, 7, 87, 3, 4, 5, 6, 7, 88, 3, 4, 5, 6, 7, 90, 44, 45, 46, 91, 44, 45, 46, 92, 44, 45, 46, 95, 33, 70, 71, 96, 74, 77, 78, 97, 33, 70, 71, 100, 101, 74, 77, 78, 102, 33, 70, 71, 105, 70, 71, 106, 74, 77, 78]",False,0.111358574610245
Account,OOP_prepared,"[48, 49, 3, 4, 5, 50, 3, 4, 5, 51, 37, 38, 39]","[49, 3, 4, 5, 50, 3, 4, 5, 51, 37, 38, 39, 42]",False,0.9120879120879121
Account,OOP_prepared,"[49, 51, 52, 53, 56, 26, 27, 57, 26, 27, 58, 26, 27, 61, 37, 38, 39, 42, 62, 37, 38, 39, 42, 64, 30, 31, 34, 65, 30, 31, 34, 66, 30, 31, 34]","[51, 3, 4, 5, 52, 3, 4, 5, 53, 3, 4, 5, 56, 26, 27, 57, 26, 27, 58, 26, 27, 61, 37, 38, 39, 42, 62, 37, 38, 39, 42, 64, 30, 31, 34, 65, 30, 33, 34, 66, 30, 31, 34]",False,0.8311258278145696
Account,OOP_prepared,"[48, 49, 50, 51, 52, 53, 54, 30, 33, 34, 55, 30, 33, 34, 56, 30, 31, 34]","[49, 3, 4, 5, 50, 3, 4, 5, 51, 3, 4, 5, 54, 30, 33, 34, 55, 30, 33, 34, 56, 30, 31, 34]",False,0.8670886075949367
Account,OOP_prepared,"[47, 49, 50, 51, 54, 26, 27, 55, 26, 27, 56, 26, 27, 59, 30, 31, 34, 60, 30, 31, 34, 61, 30, 33, 34, 64, 30, 33]","[49, 3, 4, 5, 50, 3, 4, 5, 51, 3, 4, 5, 54, 26, 27, 55, 26, 27, 56, 26, 27, 59, 30, 31, 34, 60, 30, 31, 34, 61, 30, 31, 34, 64, 30, 33, 34]",False,0.684
Account,OOP_prepared,"[51, 52, 55, 58, 61, 64, 67, 70, 71, 74, 75, 78, 79]","[51, 3, 4, 5, 52, 3, 4, 5, 55, 26, 27, 58, 30, 31, 34, 61, 30, 33, 34, 64, 37, 38, 39, 42, 67, 37, 41, 42, 70, 11, 71, 8, 74, 17, 75, 14, 78, 23, 79, 20]",False,0.5049019607843137
AnimalAbstract,OOP_prepared,"[18, 19]","[45, 10, 46, 23, 47, 19]",False,0.45161290322580644
AnimalAbstract,OOP_prepared,"[45, 46, 22, 23, 47, 9, 10, 48, 18, 19]","[46, 23, 47, 10, 48, 32]",False,0.7258064516129032
AnimalAbstract,OOP_prepared,"[44, 45, 46, 47, 31, 32, 33]","[45, 23, 46, 23, 47, 32]",False,0.6078431372549019
AnimalAbstract,OOP_prepared,"[44, 45, 46, 47, 48]","[45, 46, 47, 48]",False,0.8857142857142857
AnimalAbstract,OOP_prepared,"[44, 35, 22, 31, 32, 48, 50, 51]","[45, 36, 46, 23, 47, 32, 48, 49, 50, 51]",False,0.7323943661971831
